,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating
660,single,,8489,1,no,14.0,3.0
661,,9936.0,3787,0,no,19.0,3.0
662,single,,6986,7,no,23.0,4.0
663,,,21923,1,no,12.0,3.0
664,married,,3193,2,no,19.0,
665,,5454.0,4009,5,,21.0,4.0
666,single,,5456,1,no,11.0,3.0
667,divorced,18740.0,16701,5,,12.0,
668,single,5473.0,24668,7,no,11.0,
669,married,13503.0,14115,1,no,22.0,4.0
670,,13549.0,24001,9,no,12.0,3.0
671,,18172.0,9755,3,yes,19.0,3.0
672,single,,13871,2,,12.0,
673,married,2774.0,13257,0,no,12.0,3.0
674,,,14506,2,no,12.0,3.0
675,single,,11162,0,no,13.0,3.0
676,,,11314,6,no,18.0,3.0
677,divorced,9439.0,23402,3,,16.0,3.0
678,single,,12930,4,,22.0,
679,,,21728,1,yes,22.0,4.0
680,divorced,5265.0,16439,2,,16.0,3.0
681,divorced,3815.0,5972,1,yes,17.0,3.0
682,,,22967,5,,15.0,3.0
683,single,2389.0,14961,1,,13.0,3.0
684,married,,20990,2,no,11.0,
685,,4000.0,18384,1,no,12.0,3.0
686,married,17584.0,21016,3,yes,16.0,3.0
687,married,,22722,1,,13.0,3.0
688,,,4488,1,no,21.0,4.0
689,single,5661.0,4824,0,,19.0,3.0
690,divorced,,17056,2,yes,13.0,3.0
691,single,,20938,1,,12.0,3.0
692,,4869.0,16885,3,,12.0,
693,married,,13273,2,,22.0,4.0
694,,4649.0,16928,1,,14.0,
695,,10496.0,2755,6,no,15.0,3.0
696,single,,21972,1,yes,16.0,3.0
697,married,,16734,4,,15.0,3.0
698,,2768.0,8416,3,,12.0,3.0
699,divorced,3408.0,6705,7,no,13.0,3.0
700,single,,15318,1,,14.0,3.0
701,single,,13430,7,no,14.0,3.0
702,married,3755.0,17872,1,no,11.0,3.0
703,married,,7428,1,,20.0,4.0
704,,,14168,1,,16.0,3.0
705,divorced,2187.0,5013,0,no,12.0,3.0
706,divorced,,16346,0,no,11.0,3.0
707,married,,23452,3,,14.0,3.0
708,,,4344,1,no,14.0,3.0
709,,,18767,9,,15.0,3.0
710,,4258.0,26589,0,no,18.0,3.0
711,single,5326.0,3064,6,no,17.0,3.0
712,divorced,5485.0,22670,9,yes,11.0,
713,divorced,2782.0,19905,0,yes,13.0,3.0
714,,17639.0,6881,5,,16.0,3.0
715,married,6062.0,4051,9,,13.0,3.0
716,,6288.0,4284,2,,15.0,3.0
717,single,3424.0,21632,7,no,13.0,3.0
718,married,,22162,5,,12.0,3.0
719,,4194.0,14363,1,yes,18.0,3.0
720,married,,23726,2,yes,13.0,3.0
721,divorced,,22650,3,yes,11.0,3.0
722,,2532.0,6054,6,no,14.0,3.0
723,,5666.0,19899,1,yes,13.0,3.0
724,divorced,,11005,3,no,14.0,
725,,,11275,1,no,12.0,3.0
726,,,6881,1,,15.0,3.0
727,,13726.0,21829,3,,13.0,3.0
728,married,,5404,3,no,13.0,3.0
729,,,8318,1,no,16.0,3.0
730,,4107.0,13848,3,no,15.0,3.0
731,,,25265,1,no,13.0,3.0
732,married,,11141,1,no,16.0,3.0
733,married,,19911,0,no,17.0,3.0
734,single,3597.0,6409,8,no,22.0,4.0
735,married,,2706,1,no,18.0,3.0
736,single,,9489,8,no,13.0,
737,divorced,4115.0,13192,8,,19.0,3.0
738,divorced,,17433,2,,11.0,3.0
739,married,6272.0,12858,7,no,16.0,3.0
740,single,,20623,0,no,14.0,3.0
741,divorced,2517.0,3208,1,,11.0,3.0
742,single,,4022,6,no,14.0,3.0
743,,,4297,0,,17.0,3.0
744,married,,24232,1,,11.0,3.0
745,married,,9731,2,,11.0,3.0
746,single,3904.0,4050,0,no,12.0,3.0
747,,,22710,3,no,20.0,4.0
748,,,20284,5,,14.0,3.0
749,,9204.0,23343,4,,12.0,3.0
750,,4373.0,17456,0,no,14.0,3.0
751,single,,17485,5,no,11.0,
752,,2064.0,15428,0,,21.0,4.0
753,single,,24812,0,no,14.0,3.0
754,,,24152,1,no,13.0,3.0
755,married,2430.0,26204,0,,23.0,4.0
756,,,14814,3,no,11.0,3.0
757,divorced,4877.0,20460,0,,21.0,4.0
758,,,26493,3,no,17.0,3.0
759,,3760.0,17218,1,,13.0,3.0
760,,2013.0,10950,2,,11.0,3.0
761,,,23826,1,,22.0,4.0
762,married,,3458,3,no,15.0,3.0
763,,,7677,1,,14.0,3.0
764,married,,17616,1,no,16.0,3.0
765,,2974.0,25412,9,no,17.0,3.0
766,married,,3840,3,no,13.0,3.0
767,divorced,2766.0,8952,8,no,22.0,4.0
768,divorced,,20520,1,no,20.0,4.0
769,,,11092,1,yes,12.0,3.0
770,married,,5531,1,no,11.0,3.0
771,single,,7914,7,,21.0,4.0
772,married,3377.0,25605,4,,17.0,3.0
773,single,4213.0,4992,1,,15.0,3.0
774,,6513.0,9060,4,,17.0,3.0
775,,,9125,1,no,13.0,3.0
776,married,,6161,3,no,22.0,4.0
777,married,,24444,2,yes,13.0,3.0
778,,4284.0,13588,5,,22.0,4.0
779,,2226.0,6073,1,no,11.0,
780,,5561.0,15975,0,,16.0,3.0
781,single,2144.0,2122,1,no,14.0,3.0
782,married,5373.0,6225,0,no,12.0,3.0
783,married,2897.0,22474,3,no,11.0,3.0
784,single,,14120,1,no,12.0,3.0
785,married,5321.0,14284,2,no,11.0,3.0
786,,5410.0,11189,6,,17.0,3.0
787,,2782.0,21412,3,no,22.0,
788,,,13684,0,yes,22.0,4.0
789,single,,13422,6,yes,12.0,3.0
790,,,14255,7,no,12.0,3.0
791,married,,14369,4,no,13.0,3.0
792,,4850.0,23333,8,no,15.0,3.0
793,married,2001.0,12549,2,,14.0,3.0
794,married,,8952,1,no,12.0,3.0
795,,,23679,4,,13.0,3.0
796,,4404.0,10228,2,no,12.0,3.0
797,married,,16632,9,no,12.0,3.0
798,divorced,,15170,1,,17.0,3.0
799,divorced,,8758,0,,11.0,3.0
800,single,,12947,5,yes,14.0,3.0
801,divorced,,15053,0,yes,12.0,3.0
802,single,3944.0,4306,5,yes,11.0,3.0
803,,,8232,0,no,18.0,3.0
804,single,2960.0,17102,2,no,11.0,3.0
805,,,4681,1,,22.0,
806,single,18947.0,22822,3,,12.0,3.0
807,married,6465.0,19121,2,,13.0,3.0
808,married,2683.0,3810,1,,14.0,3.0
809,married,2014.0,9687,1,no,13.0,3.0
810,single,3441.0,11179,1,yes,13.0,
811,married,,21436,7,yes,19.0,3.0
812,,,16002,3,yes,15.0,
813,married,,5868,4,no,13.0,3.0
814,,13664.0,25258,4,,13.0,
815,divorced,5021.0,10425,8,yes,22.0,4.0
816,married,,17736,1,no,15.0,3.0
817,,,18725,3,,23.0,4.0
818,married,,17519,0,no,21.0,4.0
819,married,,25043,4,,12.0,3.0
820,divorced,,23648,4,,22.0,4.0
821,,18844.0,21922,9,no,21.0,4.0
822,married,,26897,1,no,11.0,3.0
823,single,4739.0,16090,4,,12.0,3.0
824,single,,6645,4,no,11.0,3.0
825,,,24788,3,yes,11.0,3.0
826,divorced,,2819,6,no,20.0,4.0
827,,10650.0,25150,2,,15.0,3.0
828,,,24835,2,,18.0,3.0
829,,4317.0,2302,3,yes,20.0,4.0
830,divorced,,10415,5,no,14.0,
831,married,,11992,1,no,24.0,4.0
832,,2024.0,5970,6,,18.0,3.0
833,married,,6672,1,no,11.0,3.0
834,,3058.0,13364,0,,16.0,3.0
835,divorced,,13939,4,,18.0,3.0
836,single,,6319,1,,12.0,
837,,3929.0,6984,8,,23.0,4.0
838,,,5711,2,no,15.0,3.0
839,,,3425,2,,15.0,3.0
840,divorced,,26250,1,no,11.0,3.0
841,single,4425.0,15986,5,,11.0,3.0
842,married,,9679,5,,19.0,3.0
843,married,,16523,8,,15.0,3.0
844,,2328.0,12392,1,,16.0,3.0
845,,,14242,9,no,14.0,3.0
846,,,12368,7,no,16.0,3.0
847,,2657.0,8556,5,yes,11.0,3.0
848,single,,19757,0,,14.0,3.0
849,married,5940.0,17011,2,,14.0,3.0
850,married,2622.0,13248,6,,21.0,4.0
851,single,3212.0,3300,7,,15.0,3.0
852,married,,25657,8,,17.0,3.0
853,single,,9571,0,,14.0,3.0
854,divorced,,15417,7,no,14.0,3.0
855,,,12069,0,no,18.0,3.0
856,divorced,,13523,9,no,12.0,3.0
857,married,2911.0,14776,1,,13.0,3.0
858,,,5118,4,,17.0,3.0
859,single,,23016,3,yes,13.0,3.0
860,divorced,6931.0,10732,2,no,14.0,3.0
861,married,,7505,0,no,12.0,3.0
862,,2176.0,19737,4,no,13.0,3.0
863,married,,2613,1,no,23.0,4.0
864,single,3230.0,10531,1,no,17.0,3.0
865,divorced,,11677,2,yes,18.0,3.0
866,,,18899,9,,14.0,3.0
867,divorced,,14180,2,yes,13.0,3.0
868,single,18665.0,25594,9,yes,11.0,3.0
869,divorced,2789.0,3909,1,,11.0,3.0
870,married,,11411,1,,12.0,3.0
871,married,,10077,0,,12.0,3.0
872,,6410.0,17822,3,no,12.0,3.0
873,,,7747,0,,18.0,3.0
874,,4941.0,17747,2,no,15.0,
875,married,,24737,5,yes,13.0,3.0
876,married,,16375,4,,11.0,3.0
877,,3983.0,7621,0,no,17.0,3.0
878,,6347.0,23177,7,no,16.0,3.0
879,,2904.0,16092,1,,12.0,3.0
880,divorced,2696.0,24017,0,yes,11.0,3.0
881,,,6069,7,,12.0,3.0
882,single,2174.0,9150,1,,11.0,3.0
883,,6755.0,2967,2,no,11.0,3.0
884,single,,2851,1,,24.0,4.0
885,,2657.0,7551,0,,16.0,3.0
886,,,18168,9,no,16.0,
887,,,17881,1,no,11.0,3.0
888,single,10965.0,12066,8,no,24.0,4.0
889,married,2543.0,11868,4,no,13.0,3.0
890,,5304.0,4652,8,yes,13.0,3.0
891,divorced,,5915,1,yes,12.0,3.0
892,,,20490,3,no,16.0,3.0
893,married,19406.0,8509,4,,11.0,3.0
894,married,6538.0,12740,9,no,15.0,3.0
895,,2258.0,15238,7,,20.0,4.0
896,,,2227,4,yes,14.0,3.0
897,married,2218.0,16193,1,no,12.0,3.0
898,married,,9396,5,no,13.0,3.0
899,married,2654.0,9655,3,no,21.0,
900,married,,10310,2,no,13.0,3.0
901,,,12253,0,no,16.0,3.0
902,divorced,,3032,1,no,22.0,4.0
903,,11935.0,21526,1,no,18.0,3.0
904,married,2546.0,18300,5,no,16.0,3.0
905,married,17861.0,2288,6,no,13.0,3.0
906,,,11563,2,,19.0,3.0
907,single,,18398,0,,14.0,3.0
908,divorced,,11533,9,yes,15.0,3.0
909,married,,9260,4,no,17.0,3.0
910,single,3894.0,9129,5,no,16.0,3.0
911,divorced,4262.0,22645,4,no,12.0,3.0
912,married,10527.0,8984,5,no,11.0,3.0
913,,,23914,8,,12.0,3.0
914,,2400.0,5530,0,no,13.0,3.0
915,single,3681.0,14004,4,no,14.0,3.0
916,married,,5718,1,no,13.0,3.0
917,married,,17997,7,no,11.0,3.0
918,,,26894,4,no,11.0,
919,,,2912,1,yes,18.0,3.0
920,,3447.0,24444,1,,11.0,
921,,19513.0,9358,4,,12.0,3.0
922,married,,12145,0,,20.0,4.0
923,,2659.0,17759,1,yes,13.0,
924,,8847.0,13934,2,yes,11.0,3.0
925,single,2045.0,15174,0,,13.0,3.0
926,,,8544,2,,16.0,3.0
927,,4851.0,15678,0,no,22.0,4.0
928,married,8120.0,18597,3,,12.0,3.0
929,single,4577.0,24785,9,no,14.0,3.0
930,single,5405.0,11924,8,no,14.0,3.0
931,married,,9983,7,no,15.0,3.0
932,single,3708.0,2104,2,,14.0,3.0
933,divorced,13770.0,10225,9,yes,12.0,3.0
934,divorced,,20366,6,,12.0,3.0
935,married,,23683,3,,18.0,
936,single,,22929,0,,20.0,4.0
937,,2297.0,17967,1,no,14.0,3.0
938,single,2450.0,10919,2,,17.0,3.0
939,single,,19630,1,,18.0,3.0
940,,,21199,5,yes,13.0,3.0
941,,,5288,3,no,14.0,3.0
942,single,,13551,2,no,16.0,3.0
943,married,4342.0,24008,0,,19.0,3.0
944,,2572.0,20317,1,no,16.0,3.0
945,married,,24375,3,no,21.0,
946,,6500.0,13305,5,no,17.0,3.0
947,,3149.0,21821,8,,20.0,4.0
948,single,5324.0,26507,5,,15.0,3.0
949,single,,13301,3,no,13.0,3.0
950,single,4382.0,16374,6,no,17.0,3.0
951,married,,25527,4,,13.0,3.0
952,single,2553.0,8306,1,no,16.0,3.0
953,,,2243,0,,19.0,3.0
954,single,5933.0,5197,9,,12.0,3.0
955,divorced,4403.0,9250,2,,11.0,3.0
956,married,10934.0,20715,7,yes,18.0,3.0
957,,,19146,6,,22.0,4.0
958,,,5044,2,yes,24.0,4.0
959,divorced,2022.0,16612,1,,19.0,3.0
960,,4256.0,18154,1,no,12.0,3.0
961,,3580.0,10554,2,no,16.0,3.0
962,,,10778,0,,17.0,3.0
963,,2899.0,12102,0,,19.0,3.0
964,,,23522,6,yes,19.0,3.0
965,married,5562.0,21782,4,,13.0,3.0
966,single,,24252,1,,14.0,3.0
967,single,,22052,1,,13.0,3.0
968,single,,13137,1,yes,18.0,3.0
969,married,,10022,0,yes,19.0,3.0
970,divorced,2377.0,9834,5,no,18.0,3.0
971,married,2404.0,4303,7,,21.0,4.0
972,single,2799.0,3339,3,,11.0,3.0
973,single,,23293,2,,18.0,3.0
974,,,6179,1,,16.0,3.0
975,single,,10322,0,yes,22.0,4.0
976,single,3452.0,17241,3,,18.0,3.0
977,married,2811.0,12086,9,no,14.0,3.0
978,married,,11539,4,,11.0,3.0
979,divorced,4377.0,24117,1,no,15.0,3.0
980,divorced,,10074,1,yes,24.0,4.0
981,,,25725,0,,17.0,3.0
982,,4240.0,13119,2,no,13.0,3.0
983,,,23371,6,,14.0,3.0
984,,4227.0,4658,0,,18.0,3.0
985,,3917.0,9541,1,no,20.0,4.0
986,single,4969.0,21813,8,no,18.0,3.0
987,,,21437,0,,19.0,3.0
988,married,2042.0,15346,6,,14.0,3.0
989,,2821.0,2997,3,no,16.0,3.0
990,,,21445,9,no,17.0,3.0
991,single,,17205,1,yes,14.0,3.0
992,married,9957.0,9096,0,,15.0,3.0
993,married,,5869,1,,19.0,3.0
994,married,,15813,3,no,18.0,3.0
995,,,21214,4,no,15.0,3.0
996,,2207.0,22482,1,no,16.0,3.0
997,,7756.0,22266,0,no,17.0,3.0
998,single,,2993,4,yes,20.0,4.0
999,married,,13401,0,no,17.0,3.0
1000,single,2070.0,25326,1,yes,11.0,3.0
1001,married,2791.0,21981,0,no,12.0,
1002,divorced,,18500,1,,11.0,3.0
1003,single,,15834,2,no,11.0,3.0
1004,single,8224.0,18385,0,,17.0,3.0
1005,,2610.0,6233,1,no,12.0,3.0
1006,,5731.0,17171,7,no,13.0,3.0
1007,married,2539.0,7950,1,no,13.0,
1008,married,2376.0,26537,1,,13.0,3.0
1009,divorced,,18575,4,no,13.0,3.0
1010,,,20100,4,yes,19.0,3.0
1011,single,,12828,1,,12.0,3.0
1012,,,9490,2,no,22.0,4.0
1013,,19081.0,10849,5,,11.0,3.0
1014,married,2743.0,7331,1,no,20.0,4.0
1015,married,,13755,4,,11.0,3.0
1016,divorced,3760.0,5598,1,no,15.0,3.0
1017,,,25308,1,,20.0,4.0
1018,,4538.0,6039,0,,12.0,3.0
1019,single,,6842,0,yes,11.0,3.0
1020,married,,6020,0,yes,14.0,
1021,married,3867.0,14222,1,,12.0,3.0
1022,single,2080.0,4732,2,,11.0,3.0
1023,single,2096.0,18830,1,,18.0,3.0
1024,,,26076,1,,12.0,3.0
1025,single,3904.0,22154,0,,13.0,3.0
1026,married,4627.0,23631,0,no,12.0,3.0
1027,married,,22422,4,,11.0,3.0
1028,single,,22074,1,no,13.0,3.0
1029,,2302.0,8319,1,yes,11.0,3.0
1030,,,14669,4,no,12.0,
1031,divorced,,8532,9,no,16.0,3.0
1032,married,,9075,3,,11.0,3.0
1033,,,6762,3,no,22.0,4.0
1034,,,24439,3,no,16.0,3.0
1035,single,5071.0,20392,3,no,20.0,4.0
1036,married,,23288,0,,18.0,3.0
1037,divorced,,15748,1,no,11.0,3.0
1038,married,,21057,1,,15.0,3.0
1039,,10596.0,15395,2,,11.0,3.0
1040,,5467.0,13953,3,,14.0,3.0
1041,married,,20497,0,yes,13.0,3.0
1042,married,,12477,2,no,11.0,3.0
1043,married,5769.0,7100,1,yes,11.0,3.0
1044,single,2394.0,25681,1,yes,13.0,
1045,single,3629.0,19106,4,no,18.0,3.0
1046,,9362.0,19944,2,no,11.0,3.0
1047,,3229.0,4910,4,no,11.0,3.0
1048,divorced,,12761,7,no,14.0,3.0
1049,,16422.0,8847,3,no,11.0,3.0
1050,,5647.0,13494,4,no,13.0,3.0
1051,,4400.0,15182,3,no,12.0,3.0
1052,,2066.0,10494,2,,22.0,4.0
1053,,,5561,2,,12.0,3.0
1054,,,24609,9,no,18.0,
1055,,,21081,6,,13.0,3.0
1056,divorced,5486.0,24795,4,no,11.0,3.0
1057,married,,3072,1,no,15.0,3.0
1058,single,3162.0,7973,3,,14.0,3.0
1059,married,6651.0,21534,2,no,14.0,
1060,,3420.0,21158,1,,13.0,3.0
1061,married,2909.0,15747,3,,15.0,3.0
1062,single,,19719,5,,18.0,
1063,married,,16143,0,,16.0,3.0
1064,single,4898.0,11827,0,,14.0,3.0
1065,married,,23070,4,,25.0,4.0
1066,,3180.0,4668,0,no,13.0,3.0
1067,,11244.0,21072,2,,25.0,
1068,,,4156,1,no,12.0,3.0
1069,divorced,4069.0,8841,3,,18.0,3.0
1070,,,17001,3,yes,21.0,4.0
1071,,6392.0,10589,2,no,13.0,3.0
1072,married,,17799,3,,12.0,3.0
1073,married,4855.0,7653,4,,11.0,3.0
1074,married,,16530,8,,12.0,3.0
1075,,,13008,9,no,17.0,3.0
1076,single,,16379,2,no,12.0,3.0
1077,single,,4223,3,yes,16.0,3.0
1078,married,,12826,2,no,16.0,3.0
1079,,,19711,3,yes,13.0,3.0
1080,,,15332,1,no,14.0,3.0
1081,married,,10293,1,,14.0,
1082,married,3312.0,18783,3,no,17.0,3.0
1083,single,,21602,7,,13.0,3.0
1084,married,,12421,9,yes,12.0,3.0
1085,single,3117.0,26009,1,no,18.0,3.0
1086,married,,5220,3,no,11.0,3.0
1087,,,3140,0,no,13.0,3.0
1088,,,19948,6,,15.0,
1089,,15202.0,5602,2,no,25.0,4.0
1090,,,22098,6,yes,14.0,3.0
1091,,,22490,7,,17.0,3.0
1092,single,2580.0,6297,2,no,13.0,3.0
1093,,2166.0,3339,3,yes,14.0,3.0
1094,single,,23413,9,no,11.0,3.0
1095,married,,22792,4,no,12.0,
1096,married,,3498,3,,16.0,3.0
1097,single,,13251,1,,19.0,3.0
1098,,4374.0,15411,0,,15.0,3.0
1099,,5505.0,3921,1,,14.0,3.0
1100,divorced,2587.0,24941,4,,16.0,3.0
1101,,15972.0,21086,6,,14.0,3.0
1102,,,21082,1,no,11.0,3.0
1103,married,,7419,6,no,14.0,3.0
1104,,,4167,4,yes,18.0,3.0
1105,divorced,,23737,5,no,12.0,
1106,divorced,,25103,1,yes,21.0,4.0
1107,,2305.0,6217,1,no,15.0,3.0
1108,married,3433.0,17360,6,,13.0,3.0
1109,married,3477.0,18103,1,,14.0,3.0
1110,married,,20794,6,no,19.0,
1111,,3907.0,3622,1,no,13.0,3.0
1112,,,8658,5,yes,13.0,3.0
1113,single,,12862,1,no,13.0,3.0
1114,married,,2097,0,no,14.0,3.0
1115,divorced,,9732,6,no,11.0,3.0
1116,,,20943,1,no,19.0,3.0
1117,,3445.0,6152,1,,11.0,3.0
1118,single,2760.0,14630,1,,13.0,3.0
1119,,6294.0,23060,8,yes,12.0,3.0
1120,married,,22308,4,yes,20.0,4.0
1121,,,25353,5,no,12.0,
1122,married,13116.0,22984,2,no,11.0,3.0
1123,,,8800,1,no,14.0,3.0
1124,,,25166,8,,15.0,3.0
1125,,,24978,4,no,13.0,3.0
1126,single,,15530,3,,12.0,3.0
1127,,,8277,2,no,14.0,3.0
1128,,3591.0,12719,1,no,25.0,4.0
1129,,5405.0,4244,2,yes,20.0,4.0
1130,married,,21624,2,,14.0,3.0
1131,divorced,,3157,4,,15.0,3.0
1132,single,2105.0,5411,4,,12.0,3.0
1133,,,10494,1,,15.0,3.0
1134,,,26186,7,yes,12.0,3.0
1135,,3902.0,5141,8,,14.0,3.0
1136,,2662.0,7975,8,,20.0,4.0
1137,single,2062.0,19384,3,,14.0,3.0
1138,married,,25388,0,,11.0,3.0
1139,,,14460,1,,23.0,4.0
1140,single,2587.0,10261,1,no,16.0,3.0
1141,,5507.0,16822,2,,16.0,3.0
1142,divorced,,20115,2,yes,11.0,3.0
1143,married,8103.0,16495,3,yes,12.0,3.0
1144,divorced,3978.0,16031,8,no,12.0,3.0
1145,single,5399.0,14511,4,no,12.0,3.0
1146,,,3987,6,,19.0,
1147,divorced,,14293,2,no,19.0,3.0
1148,divorced,,3995,1,,13.0,
1149,,10448.0,5843,6,yes,13.0,3.0
1150,,,5224,0,yes,11.0,3.0
1151,single,4440.0,25198,6,yes,19.0,
1152,single,,13672,1,no,13.0,3.0
1153,,,7298,6,,19.0,3.0
1154,,,6393,0,no,19.0,3.0
1155,married,2660.0,20232,7,yes,11.0,3.0
1156,,3375.0,17624,0,no,12.0,
1157,single,,15919,1,,13.0,3.0
1158,,2269.0,18024,0,,14.0,3.0
1159,single,,25479,1,,11.0,3.0
1160,,,9192,7,no,13.0,3.0
1161,married,4787.0,26124,9,,14.0,3.0
1162,,,11288,1,no,14.0,3.0
1163,,2809.0,2725,2,no,14.0,3.0
1164,,,24594,1,,14.0,3.0
1165,,10854.0,16586,4,,13.0,3.0
1166,single,,21378,0,no,18.0,3.0
1167,,2571.0,12290,4,no,17.0,3.0
1168,,6142.0,5174,1,yes,20.0,4.0
1169,,2496.0,6670,4,no,11.0,3.0
1170,married,3419.0,13072,9,yes,14.0,3.0
1171,single,2501.0,18775,1,no,17.0,3.0
1172,,,19299,0,,14.0,3.0
1173,divorced,2566.0,25326,1,,15.0,3.0
1174,,,10515,0,no,14.0,3.0
1175,single,,7703,1,,13.0,3.0
1176,,3920.0,18697,2,,14.0,
1177,married,,26062,1,,20.0,4.0
1178,divorced,,16321,5,,18.0,3.0
1179,,13964.0,17810,7,yes,12.0,3.0
1180,single,6540.0,19394,9,,19.0,3.0
1181,married,2244.0,24440,1,no,13.0,3.0
1182,,16184.0,22578,4,no,19.0,3.0
1183,divorced,4233.0,11512,2,no,17.0,3.0
1184,,,5630,2,,14.0,3.0
1185,married,14814.0,13514,3,no,19.0,3.0
1186,,,7360,3,no,11.0,3.0
1187,,17159.0,5200,6,no,24.0,4.0
1188,divorced,,23965,1,,13.0,3.0
1189,single,,9068,5,,14.0,3.0
1190,,2318.0,17808,1,,19.0,3.0
1191,,3617.0,25063,8,yes,14.0,
1192,married,,14922,5,,11.0,3.0
1193,,,18203,1,no,15.0,3.0
1194,married,2684.0,12127,0,,17.0,3.0
1195,divorced,,12278,0,no,11.0,3.0
1196,married,,18410,1,yes,19.0,3.0
1197,married,19237.0,12853,2,,11.0,3.0
1198,,2377.0,19373,1,no,20.0,
1199,divorced,,22088,1,yes,14.0,3.0
1200,married,,22955,1,,11.0,
1201,married,4422.0,21203,3,yes,13.0,3.0
1202,single,2552.0,7172,1,no,25.0,
1203,single,2678.0,5050,1,,17.0,3.0
1204,divorced,,11591,7,no,12.0,3.0
1205,,,6148,1,,25.0,4.0
1206,single,5171.0,16490,5,no,17.0,3.0
1207,,11916.0,25927,1,yes,23.0,4.0
1208,married,9380.0,14720,4,yes,18.0,
1209,,,8045,2,no,14.0,3.0
1210,,,2939,8,,15.0,
1211,,,10036,0,,14.0,
1212,married,5878.0,15624,3,no,12.0,3.0
1213,married,,7324,1,,17.0,3.0
1214,single,,8191,3,,12.0,3.0
1215,married,2468.0,15963,4,,14.0,3.0
1216,,,14218,7,,17.0,3.0
1217,,,6208,4,,17.0,3.0
1218,,4127.0,19188,2,,18.0,3.0
1219,married,2148.0,6889,0,yes,11.0,3.0
1220,married,,15696,4,no,15.0,3.0
1221,,3886.0,4223,1,no,21.0,4.0
1222,,,15318,3,yes,14.0,3.0
1223,,6667.0,16542,5,no,18.0,3.0
1224,,,18779,5,no,12.0,3.0
1225,divorced,,20439,1,,12.0,3.0
1226,single,2090.0,2396,6,yes,15.0,3.0
1227,,,9964,4,,20.0,
1228,divorced,,13335,1,,22.0,4.0
1229,,,7324,1,yes,13.0,3.0
1230,single,,19281,1,no,14.0,3.0
1231,,,16117,1,,13.0,3.0
1232,married,2086.0,3335,3,no,14.0,3.0
1233,,,3020,2,yes,16.0,3.0
1234,divorced,1951.0,10910,1,,12.0,3.0
1235,divorced,,19715,1,,13.0,3.0
1236,single,,10558,1,,12.0,3.0
1237,married,3022.0,10227,4,no,21.0,4.0
1238,,,4892,1,no,19.0,
1239,,,19294,9,,13.0,3.0
1240,married,,8302,2,yes,13.0,3.0
1241,divorced,,19730,2,yes,14.0,3.0
1242,,9724.0,18787,2,no,17.0,3.0
1243,,3388.0,21777,0,,17.0,3.0
1244,,3038.0,22002,3,no,12.0,3.0
1245,,,15067,4,yes,14.0,3.0
1246,married,,18092,3,,14.0,3.0
1247,divorced,2322.0,9518,3,no,13.0,3.0
1248,single,,15178,1,no,13.0,3.0
1249,single,2926.0,19783,1,yes,18.0,
1250,divorced,,15850,5,no,14.0,3.0
1251,single,,23785,1,no,15.0,3.0
1252,,4505.0,15000,6,,15.0,3.0
1253,divorced,2835.0,2561,5,,22.0,4.0
1254,single,,26820,1,yes,19.0,3.0
1255,,,6961,2,,21.0,4.0
1256,single,,16102,1,no,14.0,
1257,married,,13983,2,no,17.0,3.0
1258,married,,11873,4,yes,20.0,4.0
1259,,,20989,0,no,21.0,4.0
1260,single,,9241,1,,22.0,4.0
1261,,,15497,3,yes,13.0,3.0
1262,,6553.0,7259,9,,14.0,3.0
1263,married,6673.0,11354,7,yes,19.0,
1264,single,13591.0,14674,3,yes,18.0,3.0
1265,married,2177.0,8456,3,,17.0,3.0
1266,divorced,19517.0,24118,3,no,11.0,3.0
1267,divorced,,19877,2,,16.0,3.0
1268,,19202.0,15970,0,,11.0,3.0
1269,,10048.0,22573,6,no,11.0,
1270,married,2723.0,23231,1,no,11.0,3.0
1271,single,,14935,2,,11.0,3.0
1272,married,6644.0,3687,2,no,19.0,3.0
1273,,,14408,0,no,21.0,
1274,,5605.0,19191,1,yes,24.0,4.0
1275,,3161.0,19920,3,yes,22.0,4.0
1276,single,,26285,4,,12.0,3.0
1277,single,1420.0,25233,1,no,13.0,3.0
1278,married,,7122,4,no,18.0,3.0
1279,,1200.0,9724,1,no,12.0,3.0
1280,married,5238.0,17778,4,yes,18.0,3.0
1281,married,9985.0,9262,8,no,16.0,3.0
1282,,,25751,3,no,19.0,3.0
1283,single,15992.0,15901,2,no,14.0,3.0
1284,married,2370.0,3956,1,no,13.0,
1285,married,,23978,3,,21.0,4.0
1286,,6781.0,17078,3,,23.0,4.0
1287,,6653.0,15276,4,,15.0,
1288,single,2851.0,9150,1,,13.0,
1289,married,5258.0,16044,2,,14.0,3.0
1290,single,,25422,1,,15.0,3.0
1291,,2476.0,17434,1,,18.0,3.0
1292,single,2285.0,3427,9,yes,23.0,4.0
1293,single,4197.0,21123,2,,12.0,3.0
1294,married,3448.0,13436,6,no,22.0,4.0
1295,,4558.0,13535,1,,12.0,3.0
1296,married,1702.0,12106,1,yes,23.0,4.0
1297,single,2564.0,18437,1,no,12.0,3.0
1298,divorced,,22102,3,no,12.0,3.0
1299,,5070.0,7389,5,,13.0,
1300,single,3780.0,23428,7,,11.0,3.0
1301,,9824.0,22908,3,no,12.0,3.0
