,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField
612,48,No,,1262.0,,1,4,
613,39,No,,439.0, research & development ,9,3,life sciences
614,35,No,travel_rarely,528.0,,8,4,technical degree
615,42,No,travel_rarely,647.0, sales ,4,4,marketing
616,44,Yes,,1097.0,,10,4,
617,29,No,travel_rarely,942.0,,15,1,
618,33,No,,147.0,,2,3,human resources
619,54,No,travel_frequently,966.0,,1,4,
620,46,No,,168.0, sales ,4,2,
621,30,No,non-travel,,,9,2,medical
622,32,Yes,travel_rarely,1089.0,,7,2,life sciences
623,40,Yes,,299.0,,25,4,
624,34,No,non-travel,999.0,,26,1,
625,39,No,travel_rarely,1498.0, sales ,21,4,
626,37,No,,1439.0,,4,1,
627,33,No,,1111.0, sales ,41,1,life sciences
628,39,No,non-travel,1485.0, research & development ,25,2,
629,52,No,travel_rarely,258.0,,8,4,other
630,36,No,,1174.0,,3,4,
631,36,No,,172.0,,47,4,life sciences
632,24,No,travel_rarely,,,4,1,
633,34,No,travel_rarely,401.0,,1,3,life sciences
634,28,No,,866.0, sales ,5,3,
635,33,No,travel_rarely,1099.0, research & development ,4,4,medical
636,47,No,travel_rarely,571.0,,14,3,medical
637,40,Yes,,676.0,,9,4,life sciences
638,45,No,travel_rarely,950.0,,49,3,technical degree
639,40,No,travel_rarely,1342.0,,9,2,
640,29,No,,995.0,,2,1,life sciences
641,40,No,,118.0,,14,2,life sciences
642,43,No,,990.0,,27,3,
643,30,No,,241.0,,7,3,
644,38,No,,, research & development ,2,2,
645,37,No,travel_rarely,1470.0, research & development ,10,3,
646,39,No,travel_rarely,492.0,,12,3,medical
647,36,No,travel_rarely,1040.0, research & development ,11,2,life sciences
648,23,Yes,travel_rarely,1320.0,,8,1,medical
649,35,No,,146.0,,2,4,
650,31,No,travel_frequently,163.0,,24,1,technical degree
651,38,No,travel_rarely,1153.0, research & development ,6,2,other
652,35,No,,185.0,,23,4,medical
653,40,No,,750.0,,12,3,
654,27,No,travel_frequently,1297.0, research & development ,48,2,
655,41,No,,337.0,,8,3,
656,33,No,travel_rarely,217.0,,15,4,marketing
657,49,No,,1064.0,,2,1,life sciences
658,36,No,non-travel,1351.0,,9,4,
659,41,No,,930.0,,3,3,life sciences
660,29,No,,468.0,,41,4,medical
661,31,No,non-travel,,,5,3,medical
662,36,Yes,travel_rarely,1218.0,,9,4,life sciences
663,43,No,travel_rarely,1273.0,,2,2,medical
664,33,No,travel_frequently,1141.0,,18,3,life sciences
665,44,No,,1488.0, sales ,1,5,marketing
666,38,No,,653.0,,29,5,life sciences
667,50,No,,989.0,,7,2,medical
668,59,No,travel_frequently,1225.0,,1,1,
669,40,No,travel_frequently,530.0,,1,4,life sciences
670,54,No,travel_rarely,1217.0,,2,4,technical degree
671,50,No,,,,47,3,
672,54,No,non-travel,142.0,,26,3,
673,24,No,,1127.0,,18,1,life sciences
674,37,No,travel_rarely,1189.0,,3,3,life sciences
675,30,No,travel_rarely,1427.0,,2,1,
676,34,No,travel_frequently,303.0,,10,4,
677,57,No,travel_rarely,334.0, research & development ,24,2,
678,38,No,travel_rarely,702.0,,1,4,life sciences
679,41,Yes,travel_rarely,,,20,2,marketing
680,42,No,,926.0,,21,2,
681,34,No,,878.0,,10,4,
682,30,Yes,,334.0,,26,4,
683,29,Yes,travel_rarely,896.0,,13,1,medical
684,32,No,,1401.0,,4,2,
685,25,No,,675.0,,5,2,life sciences
686,53,No,,1070.0,,3,4,
687,26,No,,496.0, research & development ,11,2,medical
688,28,No,,1117.0,,8,2,
689,28,No,travel_rarely,1476.0,,16,2,medical
690,58,No,,390.0, research & development ,1,4,life sciences
691,27,No,travel_rarely,1220.0,,5,3,
692,54,No,travel_frequently,928.0,,20,4,life sciences
693,40,No,travel_rarely,1124.0,,45,2,
694,29,No,non-travel,746.0,,2,3,life sciences
695,50,No,travel_rarely,1046.0,,10,3,
696,24,Yes,travel_rarely,1448.0,,1,1,technical degree
697,30,No,,1400.0, research & development ,37,3,
698,34,No,,1303.0,,2,4,
699,33,Yes,travel_rarely,587.0,,10,1,
700,36,No,non-travel,635.0,,30,4,medical
701,41,No,non-travel,267.0, sales ,10,2,
702,39,No,travel_frequently,443.0,,8,1,
703,26,No,travel_rarely,703.0,,28,2,marketing
704,24,Yes,travel_frequently,1287.0, research & development ,7,3,
705,27,No,,798.0, research & development ,6,4,
706,27,Yes,travel_rarely,1420.0,,2,1,marketing
707,50,Yes,,562.0, sales ,8,2,technical degree
708,23,No,travel_rarely,650.0,,49,1,
709,39,No,travel_rarely,141.0,,24,3,
710,52,No,non-travel,715.0,,19,4,medical
711,26,Yes,,,,8,3,
712,54,No,,376.0,,19,4,
713,37,No,travel_rarely,571.0,,10,1,life sciences
714,50,No,travel_rarely,691.0, research & development ,2,3,
715,42,No,,932.0,,1,2,life sciences
716,38,No,travel_frequently,471.0, research & development ,12,3,
717,25,No,travel_rarely,180.0,,2,1,medical
718,32,No,,638.0,,8,2,
719,25,No,,141.0,,3,1,
720,42,No,,1265.0,,3,3,
721,33,No,,1075.0,,3,2,human resources
722,29,No,travel_rarely,1086.0,,7,1,medical
723,38,No,non-travel,152.0,,10,3,
724,45,No,travel_rarely,974.0, research & development ,1,4,
725,31,No,travel_frequently,853.0,,1,1,
726,22,No,,217.0, research & development ,8,1,life sciences
727,59,No,travel_rarely,715.0,,2,3,
728,45,No,,1234.0, sales ,11,2,
729,45,No,travel_rarely,788.0,,24,4,
730,37,No,travel_rarely,124.0,,3,3,
731,26,No,,921.0,,26,1,medical
732,26,No,,192.0,,1,2,medical
733,28,No,,,,42,1,
734,24,No,,477.0,,24,3,medical
735,30,No,travel_rarely,852.0,,10,3,marketing
736,43,Yes,,1372.0,,9,3,
737,30,No,travel_rarely,1329.0,,29,4,life sciences
738,46,No,travel_rarely,150.0,,2,4,technical degree
739,42,No,non-travel,, human resources ,2,5,
740,25,No,,,,10,4,life sciences
741,27,No,,1167.0,,4,2,
742,56,No,travel_rarely,206.0,,8,4,life sciences
743,41,No,travel_frequently,, sales ,1,3,marketing
744,28,No,,736.0,,26,3,life sciences
745,52,No,travel_frequently,322.0,,28,2,
746,26,No,travel_rarely,683.0,,2,1,medical
747,49,Yes,travel_frequently,1475.0,,28,2,
748,34,No,travel_frequently,560.0,,1,4,other
749,32,No,,,,7,5,marketing
750,33,No,,,,7,3,medical
751,29,Yes,,115.0, sales ,13,3,
752,30,No,,,,16,3,life sciences
753,23,No,,507.0, research & development ,11,1,life sciences
754,33,No,,575.0,,25,3,
755,35,No,,,,28,4,
756,38,No,travel_frequently,888.0,,10,4,
757,28,No,,580.0,,27,3,
758,37,No,,671.0,,19,3,life sciences
759,24,No,,567.0, research & development ,2,1,technical degree
760,36,No,,311.0,,7,3,
761,38,No,travel_frequently,148.0,,2,3,
762,53,No,travel_rarely,1395.0,,24,4,medical
763,37,No,travel_frequently,1278.0,,1,4,
764,24,No,,581.0, research & development ,12,3,medical
765,29,No,travel_rarely,1082.0,,9,4,medical
766,32,No,travel_rarely,371.0,,19,3,
767,42,No,travel_rarely,855.0,,12,3,medical
768,41,No,,548.0,,9,4,life sciences
769,44,Yes,,429.0,,1,2,
770,28,No,travel_rarely,1181.0,,1,3,
771,39,No,,1253.0, research & development ,10,1,medical
772,40,No,,616.0,,2,2,life sciences
773,37,Yes,travel_rarely,370.0,,10,4,
774,40,No,,1194.0,,1,3,
775,26,No,travel_rarely,572.0, sales ,10,3,
776,42,No,,355.0,,10,4,technical degree
777,34,No,travel_rarely,1480.0,,4,3,
778,37,No,travel_rarely,783.0,,7,4,medical
779,27,No,,1354.0,,2,4,technical degree
780,35,No,travel_rarely,682.0,,18,4,
781,28,No,non-travel,1103.0,,16,3,medical
782,29,No,,136.0,,1,3,life sciences
783,54,No,,155.0, research & development ,9,2,
784,24,No,travel_rarely,771.0,,41,2,life sciences
785,38,No,travel_frequently,508.0,,6,4,
786,42,No,,557.0,,18,4,
787,41,No,,642.0,,1,3,life sciences
788,25,No,travel_rarely,1382.0,,8,2,
789,44,No,,1037.0,,1,3,medical
790,50,Yes,,878.0,,1,4,
791,36,No,,1120.0, sales ,11,4,marketing
792,45,No,,374.0,,20,3,
793,40,No,,1194.0,,2,4,
794,35,No,travel_rarely,287.0,,1,4,
795,29,No,travel_rarely,,,13,2,other
796,34,No,,,,8,3,
797,27,No,travel_rarely,591.0,,2,1,
798,31,No,,670.0, research & development ,26,1,
799,34,No,travel_rarely,1346.0,,38,2,
800,28,Yes,travel_rarely,103.0, research & development ,24,3,life sciences
801,32,No,travel_rarely,334.0,,5,2,
802,38,No,,371.0, research & development ,2,3,life sciences
803,24,No,,673.0,,11,2,
804,34,Yes,,699.0,,6,1,
805,32,Yes,travel_frequently,, research & development ,16,1,
806,46,No,travel_rarely,705.0,,2,4,marketing
807,44,No,,1459.0,,10,4,other
808,50,Yes,travel_rarely,,,3,2,
809,35,No,,890.0,,2,3,marketing
810,28,Yes,,1434.0,,5,4,
811,26,No,,1443.0,,22,3,
812,35,No,travel_rarely,1142.0,,31,4,
813,35,No,,664.0,,31,3,medical
814,37,No,travel_rarely,397.0,,20,4,medical
815,46,No,travel_rarely,,,38,2,medical
816,34,No,travel_rarely,1153.0,,1,2,medical
817,51,No,travel_rarely,432.0,,9,4,
818,24,No,travel_rarely,1353.0, sales ,3,2,other
819,44,No,,489.0,,23,3,
820,37,Yes,travel_rarely,807.0,,6,4,human resources
821,59,No,non-travel,1420.0,,2,4,human resources
822,25,No,,1280.0,,7,1,
823,43,No,,957.0,,26,3,medical
824,50,No,travel_frequently,809.0,,12,3,
825,31,Yes,travel_rarely,542.0,,20,3,
826,36,No,,216.0, research & development ,6,2,medical
827,51,Yes,travel_frequently,1150.0,,16,4,
828,25,No,,, sales ,28,3,life sciences
829,38,No,travel_rarely,364.0,,3,5,technical degree
830,30,No,travel_rarely,201.0, research & development ,5,3,technical degree
831,22,No,,1256.0,,36,1,medical
832,27,No,non-travel,691.0, research & development ,9,3,medical
833,28,No,,440.0, research & development ,21,3,medical
834,27,No,,1157.0,,17,3,
835,56,No,travel_rarely,713.0,,8,3,life sciences
836,38,No,travel_rarely,,,9,2,
837,31,No,travel_rarely,140.0,,12,1,medical
838,34,No,travel_rarely,629.0,,27,2,medical
839,50,No,,328.0, research & development ,1,3,
840,53,No,,1084.0,,13,2,
841,35,No,travel_frequently,,,24,3,medical
842,27,No,travel_frequently,472.0,,1,1,
843,40,No,,905.0,,38,2,
844,22,No,,1136.0,,22,3,life sciences
845,40,No,,1151.0,,10,5,life sciences
846,46,No,,644.0,,1,4,
847,30,Yes,,1005.0,,3,3,technical degree
848,29,Yes,,992.0,,1,3,
849,54,No,,1147.0,,3,3,
850,33,No,travel_rarely,147.0, research & development ,4,4,
851,52,No,travel_rarely,1323.0,,2,3,
852,59,No,travel_rarely,818.0, human resources ,6,2,medical
853,32,Yes,,515.0,,1,3,
854,39,No,,1431.0,,24,4,medical
855,32,No,non-travel,976.0,,26,4,marketing
856,31,No,,1327.0,,3,4,medical
857,33,No,travel_rarely,832.0,,5,4,life sciences
858,45,No,,1199.0,,23,4,life sciences
859,42,No,,916.0, research & development ,17,2,
860,29,No,,1247.0,,19,2,marketing
861,25,No,travel_rarely,685.0,,1,3,
862,32,No,,128.0,,2,1,
863,28,No,travel_rarely,1158.0,,9,3,
864,21,No,travel_rarely,996.0,,3,2,
865,37,No,non-travel,728.0,,1,4,medical
866,38,No,travel_rarely,688.0,,23,4,life sciences
867,26,Yes,travel_rarely,1449.0,,16,4,medical
868,49,No,,636.0,,10,4,life sciences
869,31,No,travel_frequently,444.0, sales ,5,3,
870,37,No,travel_frequently,889.0,,9,3,medical
871,31,No,travel_rarely,691.0, research & development ,11,4,
872,31,No,travel_rarely,106.0,,2,3,human resources
873,31,No,,, research & development ,2,4,
874,52,Yes,,723.0,,17,4,medical
875,28,Yes,,1157.0,,2,4,medical
876,47,No,travel_rarely,1482.0,,5,5,
877,29,No,,738.0,,9,5,other
878,37,No,,1192.0,,5,2,medical
879,23,No,,1309.0,,26,1,
880,42,No,travel_rarely,544.0, human resources ,2,1,
881,30,No,,641.0, sales ,25,2,
882,21,Yes,,756.0,,31,1,
883,57,No,travel_rarely,593.0,,1,4,medical
884,21,No,,895.0,,9,2,
885,31,No,travel_rarely,408.0,,9,4,life sciences
886,29,No,,1283.0, research & development ,17,3,
887,27,No,travel_rarely,1469.0,,1,2,
888,49,No,travel_rarely,1261.0,,7,3,other
889,36,No,travel_rarely,329.0,,2,3,
890,34,Yes,non-travel,1362.0,,19,3,marketing
891,24,No,,1371.0,,10,4,marketing
892,42,No,,201.0,,1,4,
893,54,No,,821.0,,5,2,medical
894,34,No,,1381.0,,4,4,
895,43,No,,313.0,,21,3,
896,43,No,travel_rarely,1473.0,,8,4,other
897,31,No,travel_rarely,329.0,,1,2,
898,25,Yes,travel_rarely,688.0,,3,3,medical
899,45,No,,192.0,,10,2,life sciences
900,52,No,travel_rarely,1490.0,,4,2,life sciences
901,34,Yes,travel_frequently,296.0,,6,2,
902,26,No,travel_rarely,1349.0,,23,3,life sciences
903,29,No,,986.0,,3,4,
904,29,Yes,,408.0,,25,5,technical degree
905,46,No,,1009.0,,2,3,life sciences
906,46,No,,1125.0,,10,3,marketing
907,30,No,travel_rarely,413.0, sales ,7,1,marketing
908,34,Yes,travel_frequently,988.0, human resources ,23,3,
909,42,No,,1474.0,,5,2,other
910,22,Yes,,1368.0, research & development ,25,1,technical degree
911,29,No,travel_rarely,232.0,,19,3,technical degree
912,46,No,travel_frequently,1034.0, research & development ,18,1,medical
913,32,Yes,,1474.0, sales ,11,4,other
914,24,No,,,,24,3,medical
915,35,No,travel_rarely,538.0,,25,2,
916,42,No,,622.0,,2,4,life sciences
917,48,No,travel_rarely,1236.0,,1,4,
918,44,No,travel_rarely,1112.0,,1,4,
919,34,No,,204.0, sales ,14,3,
920,21,No,,1343.0,,22,1,technical degree
921,44,No,travel_rarely,1315.0,,3,4,
922,22,No,travel_rarely,,,6,1,medical
923,26,No,travel_rarely,991.0,,6,3,
924,36,No,,913.0,,9,2,medical
925,27,No,,1115.0,,3,4,medical
926,23,No,travel_rarely,885.0,,4,3,
927,25,No,,810.0,,8,3,life sciences
928,48,No,,817.0,,14,1,
929,24,Yes,travel_rarely,693.0,,3,2,life sciences
930,60,No,travel_rarely,1179.0,,16,4,
931,50,No,,316.0,,8,4,marketing
932,44,No,non-travel,381.0,,24,3,
933,47,No,travel_frequently,217.0,,3,3,
934,42,Yes,,933.0,,19,3,
935,43,No,travel_frequently,775.0,,15,3,life sciences
936,40,No,,804.0,,2,1,
937,29,No,,1090.0, sales ,10,3,
938,53,No,,346.0,,6,3,
939,23,No,travel_rarely,310.0, research & development ,12,1,medical
940,55,Yes,,725.0,,2,3,medical
941,26,No,travel_frequently,575.0,,1,2,life sciences
942,34,No,travel_rarely,182.0,,1,4,
943,27,No,,829.0,,8,1,marketing
944,35,No,travel_rarely,384.0,,8,4,
945,30,No,travel_rarely,921.0,,18,3,
946,34,No,,1111.0,,8,2,
947,52,No,travel_rarely,1325.0, research & development ,25,4,life sciences
948,33,Yes,travel_rarely,118.0,,16,3,marketing
949,35,No,travel_rarely,1258.0, research & development ,20,4,
950,28,Yes,,890.0,,2,4,
951,36,No,travel_rarely,1041.0,,13,3,human resources
952,34,No,travel_frequently,702.0, research & development ,16,4,
953,34,No,,829.0,,3,2,
954,44,No,travel_rarely,625.0,,4,3,
955,32,No,,,,13,4,life sciences
956,53,No,,661.0,,7,2,
957,22,No,,,,1,2,life sciences
958,44,No,travel_rarely,986.0,,8,4,life sciences
959,35,Yes,travel_frequently,,,25,4,life sciences
960,25,No,,583.0,,4,1,
961,49,No,travel_rarely,1418.0,,1,3,technical degree
962,24,No,non-travel,1269.0,,19,1,life sciences
963,38,No,travel_rarely,395.0, sales ,9,3,marketing
964,29,Yes,travel_rarely,341.0,,1,3,medical
965,43,No,travel_frequently,,,1,3,life sciences
966,28,No,travel_rarely,821.0,,5,4,medical
967,20,Yes,travel_rarely,500.0,,2,3,
968,47,No,,1454.0,,2,4,life sciences
969,22,Yes,travel_rarely,617.0,,3,1,life sciences
970,28,No,,995.0,,9,3,medical
971,39,Yes,,1122.0, research & development ,6,3,medical
972,33,No,travel_rarely,1198.0, research & development ,1,4,
973,36,No,travel_rarely,188.0, research & development ,7,4,other
974,35,No,travel_rarely,1219.0,,48,3,
975,31,Yes,,335.0,,9,2,medical
976,33,No,travel_rarely,461.0,,13,1,life sciences
977,27,No,,1134.0,,24,4,
978,30,Yes,travel_rarely,138.0,,22,3,
979,24,No,,1206.0,,17,1,medical
980,35,Yes,travel_rarely,622.0, research & development ,14,4,other
981,30,Yes,,109.0,,5,3,
982,48,No,travel_rarely,277.0, research & development ,6,3,
983,41,No,travel_rarely,549.0,,7,2,medical
984,27,No,,1055.0, research & development ,2,4,
985,35,No,travel_rarely,802.0, research & development ,10,3,other
986,26,Yes,non-travel,265.0,,29,2,medical
987,33,No,non-travel,1038.0, sales ,8,1,life sciences
988,26,Yes,,342.0,,2,3,life sciences
989,38,No,travel_frequently,1186.0,,3,4,
990,46,No,,430.0,,47,4,medical
991,20,Yes,,769.0,,9,3,marketing
992,30,No,,1176.0,,20,3,other
993,27,No,non-travel,1277.0,,8,5,
994,55,No,,1091.0,,2,1,
995,33,No,travel_rarely,654.0,,5,3,life sciences
996,28,No,,895.0,,15,2,life sciences
997,34,No,,618.0,,3,1,life sciences
998,33,Yes,,1017.0,,25,3,medical
999,33,No,,970.0,,7,3,life sciences
1000,21,No,,984.0,,1,1,
1001,31,No,travel_frequently,793.0,,20,3,
1002,35,No,,1182.0,,11,2,marketing
1003,34,No,,1003.0,,2,2,
1004,33,Yes,,603.0,,9,4,
1005,31,Yes,,874.0, research & development ,15,3,medical
1006,37,No,travel_rarely,367.0,,25,2,
1007,27,No,travel_rarely,199.0,,6,3,
1008,35,No,travel_frequently,,,4,4,other
1009,56,No,,718.0,,4,4,
1010,45,No,,1457.0, research & development ,7,3,medical
1011,20,No,travel_rarely,805.0,,3,3,
1012,50,No,travel_frequently,1421.0,,2,3,
1013,46,No,,1450.0,,15,2,life sciences
1014,32,No,,116.0,,13,3,other
1015,35,No,,1212.0,,8,2,
1016,29,No,,1010.0,,1,3,life sciences
1017,21,Yes,travel_frequently,,,10,2,
1018,34,No,travel_rarely,131.0,,2,3,marketing
1019,28,No,,791.0,,1,4,medical
1020,35,No,travel_rarely,735.0,,6,1,life sciences
1021,28,No,travel_frequently,193.0,,2,3,life sciences
1022,28,No,travel_rarely,640.0,,1,3,technical degree
1023,25,No,,266.0, research & development ,1,3,medical
1024,58,No,,848.0,,23,4,life sciences
1025,39,Yes,,,,23,3,medical
1026,30,No,travel_rarely,1138.0,,6,3,technical degree
1027,50,No,,,,46,3,life sciences
1028,41,No,,256.0,,10,2,medical
1029,31,Yes,,,,1,3,
1030,44,Yes,,935.0,,3,3,life sciences
1031,40,No,non-travel,458.0, research & development ,16,2,
1032,25,No,travel_rarely,882.0, research & development ,19,1,medical
1033,40,No,travel_rarely,329.0,,1,4,life sciences
1034,51,No,travel_rarely,,,11,2,technical degree
1035,27,No,travel_frequently,793.0,,2,1,life sciences
1036,35,Yes,,662.0,,18,4,marketing
1037,38,No,,693.0,,7,3,
1038,31,Yes,,,,22,4,
1039,51,No,,541.0,,2,3,
1040,41,No,,1200.0,,22,3,
1041,32,No,,499.0,,2,1,marketing
1042,25,No,travel_rarely,1372.0,,18,1,life sciences
1043,27,No,,,,10,3,marketing
1044,27,Yes,travel_rarely,,,22,4,life sciences
1045,37,No,,1462.0,,11,3,medical
1046,35,No,travel_frequently,200.0,,18,2,life sciences
1047,25,No,,949.0,,1,3,
1048,30,No,,,,7,4,marketing
1049,31,No,,182.0, research & development ,8,5,life sciences
1050,36,No,,329.0,,16,4,marketing
1051,25,Yes,travel_rarely,383.0,,9,2,
1052,56,No,,1255.0,,1,2,life sciences
1053,41,No,,,,5,5,medical
1054,31,No,travel_rarely,1398.0,,8,2,
1055,31,Yes,travel_frequently,523.0, research & development ,2,3,life sciences
1056,48,No,,1221.0, sales ,7,3,marketing
1057,34,Yes,,1107.0,,9,4,
1058,44,No,,981.0,,5,3,life sciences
1059,49,No,travel_rarely,1495.0, research & development ,5,4,
1060,44,No,,1467.0,,20,3,life sciences
1061,28,Yes,,1496.0,,1,3,
1062,44,No,travel_frequently,1193.0, research & development ,2,1,
1063,55,No,travel_rarely,1229.0,,4,4,life sciences
1064,28,No,travel_frequently,467.0,,7,3,life sciences
1065,49,No,travel_rarely,271.0,,45,2,medical
1066,29,No,travel_frequently,410.0,,2,1,life sciences
1067,32,No,,495.0,,10,3,
1068,31,Yes,travel_frequently,561.0,,3,3,life sciences
1069,40,No,,1142.0,,43,2,life sciences
1070,36,No,travel_rarely,1157.0,,2,4,life sciences
1071,33,No,,1242.0,,8,4,life sciences
1072,30,No,,1288.0, sales ,14,4,
1073,38,Yes,travel_rarely,903.0,,2,3,medical
1074,48,No,travel_rarely,1108.0, research & development ,15,4,
1075,34,No,,1351.0, research & development ,1,4,
1076,38,No,travel_rarely,437.0,,16,3,life sciences
1077,35,No,travel_rarely,,,10,4,
1078,23,No,,977.0,,10,3,
1079,36,No,,1302.0,,6,4,
1080,34,No,travel_frequently,653.0,,36,4,
1081,22,No,non-travel,457.0,,26,2,other
1082,32,No,,634.0,,5,4,
1083,31,No,travel_frequently,715.0,,2,4,
1084,36,No,travel_rarely,559.0,,12,4,life sciences
1085,21,No,,546.0,,19,1,medical
1086,47,No,,1176.0,,26,4,
1087,39,No,,711.0,,4,3,medical
1088,40,No,,448.0,,16,3,
1089,48,No,travel_frequently,365.0,,4,5,
1090,35,Yes,,763.0,,10,2,medical
1091,27,No,travel_rarely,486.0, research & development ,8,3,medical
1092,27,No,,591.0,,2,3,medical
1093,40,Yes,travel_rarely,1329.0,,7,3,
1094,29,No,,469.0,,10,3,
1095,36,No,,711.0,,5,4,life sciences
1096,49,No,travel_rarely,301.0,,22,4,other
1097,20,No,travel_rarely,1141.0,,13,3,medical
1098,36,No,non-travel,894.0, research & development ,1,4,
1099,33,No,travel_rarely,392.0,,2,4,
1100,49,No,,,,16,3,medical
1101,47,No,travel_rarely,1225.0,,2,4,life sciences
1102,20,No,travel_rarely,727.0,,9,1,
1103,36,No,travel_rarely,1351.0,,26,4,
1104,44,No,travel_rarely,528.0, human resources ,1,3,
1105,55,No,,1441.0,,12,3,technical degree
1106,23,Yes,,427.0,,7,3,life sciences
1107,26,No,,390.0,,17,4,
1108,32,No,travel_frequently,585.0,,10,3,
1109,31,No,,741.0,,2,4,life sciences
1110,41,No,non-travel,552.0, human resources ,4,3,human resources
1111,24,No,travel_rarely,506.0,,29,1,medical
1112,36,Yes,,1456.0,,13,5,marketing
1113,23,No,,160.0,,4,1,
1114,24,No,,897.0,,35,3,medical
1115,30,Yes,travel_frequently,600.0,,42,3,
1116,31,No,,1003.0,,5,3,
1117,27,No,,1054.0,,48,3,
1118,29,Yes,travel_rarely,428.0,,9,3,
1119,29,No,,461.0,,1,3,
1120,53,No,,661.0,,31,4,
1121,34,No,travel_rarely,511.0,,3,2,
1122,51,No,travel_rarely,942.0,,3,3,
1123,37,No,travel_rarely,589.0, sales ,9,2,marketing
1124,46,No,,849.0,,26,2,life sciences
1125,43,No,non-travel,343.0, research & development ,9,3,
1126,41,No,travel_rarely,,,35,3,
1127,31,No,,1125.0,,7,4,
1128,28,No,travel_rarely,1217.0,,1,3,medical
1129,38,No,,723.0, sales ,2,4,
1130,58,No,travel_frequently,1216.0, research & development ,15,4,life sciences
1131,29,Yes,travel_rarely,350.0,,13,3,
1132,47,No,travel_rarely,207.0,,9,4,life sciences
1133,28,No,,280.0,,1,2,life sciences
1134,32,Yes,travel_rarely,414.0, sales ,2,4,marketing
1135,39,No,travel_rarely,,,19,4,
1136,55,No,travel_rarely,836.0,,2,4,
1137,29,No,,592.0,,7,3,life sciences
1138,35,No,,219.0,,16,2,other
1139,34,Yes,non-travel,967.0,,16,4,technical degree
1140,56,Yes,travel_rarely,,,24,2,
1141,36,No,,335.0,,17,2,marketing
1142,31,No,,1079.0,,10,2,
1143,34,No,,735.0,,3,1,
1144,31,No,travel_rarely,471.0,,4,3,
1145,45,No,travel_frequently,,,1,4,medical
1146,39,No,,1251.0,,21,4,
1147,38,No,travel_rarely,1206.0,,9,2,
1148,31,No,,976.0,,3,2,
1149,53,Yes,,1168.0,,24,4,life sciences
1150,38,No,travel_frequently,1444.0, human resources ,1,4,other
1151,54,No,,,,10,3,
1152,23,No,,571.0,,12,2,
1153,25,No,,977.0,,2,1,other
1154,31,No,,1154.0,,2,2,life sciences
1155,35,No,travel_rarely,1490.0,,11,4,medical
1156,22,No,,581.0, research & development ,1,2,
1157,32,No,travel_rarely,267.0,,29,4,
1158,32,No,,234.0,,36,4,
1159,21,No,travel_rarely,501.0, sales ,5,1,medical
1160,36,No,,688.0,,13,2,life sciences
1161,29,Yes,travel_rarely,1092.0,,38,4,
1162,32,No,travel_rarely,529.0,,2,3,technical degree
1163,40,No,travel_rarely,1322.0,,2,4,
1164,35,No,travel_frequently,1199.0,,18,4,life sciences
1165,50,Yes,travel_rarely,410.0, sales ,40,3,marketing
1166,26,No,,1167.0,,5,3,other
1167,36,No,travel_frequently,884.0,,23,2,medical
1168,27,No,travel_rarely,155.0,,4,3,life sciences
1169,33,No,,924.0,,2,3,medical
1170,36,No,,852.0,,5,4,life sciences
1171,31,No,,1082.0, research & development ,1,4,medical
1172,22,No,travel_rarely,, research & development ,2,1,technical degree
1173,27,No,,1450.0,,3,3,
1174,33,No,travel_rarely,134.0,,2,3,life sciences
1175,36,No,travel_frequently,635.0,,18,1,
1176,37,No,,1017.0,,18,2,medical
1177,32,No,,1311.0,,7,3,
1178,51,No,travel_rarely,1302.0,,35,3,medical
1179,49,No,,1091.0,,45,2,technical degree
1180,35,No,,755.0,,9,4,
1181,22,No,,253.0,,11,3,medical
1182,33,No,,922.0,,1,5,
1183,31,Yes,,1365.0, sales ,13,4,medical
1184,45,Yes,,306.0,,26,4,
1185,53,No,,970.0,,7,3,
1186,34,No,travel_rarely,970.0,,8,2,
1187,43,No,,,,14,2,life sciences
1188,28,No,travel_rarely,1169.0,,8,2,medical
1189,42,No,travel_frequently,1271.0, research & development ,2,1,
1190,27,No,travel_rarely,618.0,,4,3,
1191,40,No,,1469.0,,9,4,
1192,37,Yes,,625.0,,1,4,life sciences
1193,29,No,travel_frequently,1404.0,,18,3,technical degree
1194,38,No,,1391.0, research & development ,10,1,
1195,34,No,,216.0,,46,4,
1196,34,No,travel_rarely,1333.0,,10,4,life sciences
1197,50,No,travel_rarely,1464.0,,12,4,medical
1198,26,Yes,,1330.0,,21,3,
1199,28,No,travel_frequently,773.0, research & development ,6,3,life sciences
1200,28,Yes,,1485.0,,12,1,
1201,40,No,,902.0,,29,2,medical
1202,19,No,travel_rarely,645.0,,47,2,
1203,20,No,travel_rarely,654.0,,21,3,marketing
1204,40,No,,107.0,,10,3,
1205,19,Yes,,504.0,,10,3,
1206,59,No,,326.0,,3,3,
1207,30,No,travel_rarely,634.0, research & development ,17,4,medical
1208,45,No,travel_rarely,1448.0,,29,3,
1209,40,No,travel_rarely,896.0,,2,3,
1210,30,No,,1358.0,,42,1,life sciences
1211,24,No,,, research & development ,24,2,technical degree
1212,32,No,,824.0,,5,2,life sciences
1213,28,Yes,travel_rarely,329.0,,24,3,medical
1214,49,No,,1313.0, sales ,11,4,
1215,38,No,travel_frequently,594.0, research & development ,2,2,medical
1216,46,No,travel_rarely,734.0,,2,4,
1217,34,Yes,travel_frequently,234.0,,9,4,life sciences
