,Attrition,Businesstravel,Dailyrate,Distancefromhome,Education,Educationfield,Employeenumber,Environmentsatisfaction,Gender,Hourlyrate,Jobinvolvement,Joblevel,Jobrole,Jobsatisfaction,Maritalstatus,Monthlyrate,Numcompaniesworked,Overtime,Percentsalaryhike,Performancerating,Relationshipsatisfaction,Stockoptionlevel,Totalworkingyears,Trainingtimeslastyear,Worklifebalance,Yearsatcompany,Yearsincurrentrole,Yearssincelastpromotion,Yearswithcurrmanager,Datebirth,Remotework,Employee_id
381,no,travel rarely,857.0,10,3,other,1097,3,M,59.0,3,2, research scientist ,3,single,7909,3,no,13,3,4,0,0,4,4,8,0,1,7,1995,unknown,1097
382,yes,unknown,1204.0,4,3,technical degree,1100,4,H,86.0,3,3, sales executive ,1,unknown,10333,0,unknown,22,4,1,0,9,2,3,8,0,4,7,1988,unknown,1100
383,yes,travel frequently,827.0,36,4,medical,1101,36,M,54.0,2,2, research scientist ,3,single,3129,1,no,22,4,2,0,14,4,3,13,0,3,8,1990,yes,1101
384,yes,unknown,1219.0,4,1,technical degree,1106,4,H,32.0,3,1, laboratory technician ,4,married,4605,1,unknown,15,0,2,1,7,3,4,7,0,5,6,1998,unknown,1106
385,no,unknown,770.0,10,4,unknown,1119,3,H,66.0,2,3, sales executive ,3,unknown,5569,0,yes,14,3,2,2,9,2,0,8,0,2,7,1985,yes,1119
386,no,unknown,950.0,12,3,unknown,0,12,M,93.0,3,3, manufacturing director ,2,unknown,8039,0,unknown,17,3,2,3,0,3,2,9,0,1,7,1995,yes,4039
387,no,travel frequently,1082.0,27,3,life sciences,1126,3,M,83.0,3,3, manufacturing director ,1,married,11535,8,no,11,3,3,1,18,1,3,8,0,0,1,1980,no,1126
388,yes,travel frequently,203.0,2,3,life sciences,0,1,H,84.0,3,4, healthcare representative ,4,unknown,13547,7,no,11,3,4,3,21,4,3,18,0,11,5,1984,no,2002
389,no,travel rarely,1308.0,14,3,unknown,1128,3,H,44.0,2,5, research director ,3,unknown,17544,1,no,14,0,1,0,0,2,0,20,0,4,9,1983,unknown,1128
390,no,travel rarely,718.0,8,1,medical,0,2,H,79.0,2,2, manufacturing director ,4,married,17689,1,unknown,15,3,3,1,10,2,2,10,0,1,2,1994,unknown,7878
391,no,unknown,593.0,32,4,unknown,0,2,M,88.0,3,3, research director ,3,unknown,13782,9,no,17,3,3,0,20,3,2,18,0,2,13,1983,no,17291
392,no,travel rarely,1384.0,3,4,unknown,1177,1,H,82.0,4,1, laboratory technician ,4,unknown,13421,1,unknown,22,4,2,1,8,2,3,8,0,0,7,1997,yes,1177
393,no,travel rarely,819.0,2,3,unknown,1182,3,H,44.0,2,3, manufacturing director ,2,divorced,19588,2,no,18,3,2,1,15,2,4,7,0,6,4,1988,unknown,1182
394,no,unknown,1223.0,7,2,medical,1201,4,M,50.0,3,5, manager ,3,divorced,18640,3,no,18,3,2,1,26,6,3,7,0,4,7,1970,no,1201
395,no,unknown,1361.0,17,4,life sciences,1218,3,H,94.0,3,2, sales executive ,1,unknown,21026,3,unknown,15,3,4,3,15,2,3,7,0,1,7,1988,yes,1218
396,no,unknown,1146.0,25,3,medical,1220,2,M,66.0,3,2, sales executive ,3,unknown,4905,1,no,12,3,1,1,0,3,2,10,0,0,1,1990,yes,1220
397,no,unknown,797.0,6,4,life sciences,0,3,H,60.0,1,1, laboratory technician ,3,divorced,6865,1,no,14,3,3,1,0,4,3,7,0,1,7,1987,yes,18411
398,no,travel rarely,853.0,7,4,life sciences,1224,3,H,49.0,3,2, laboratory technician ,3,divorced,11309,1,unknown,13,0,1,3,0,4,2,10,0,8,9,1993,yes,1224
399,no,unknown,797.0,29,4,unknown,0,29,H,52.0,4,2, sales executive ,4,divorced,10893,0,unknown,18,3,2,1,12,3,3,11,0,1,9,1963,yes,17229
400,no,unknown,1316.0,2,2,life sciences,1235,4,M,38.0,3,2, research scientist ,3,single,2338,4,yes,14,3,4,0,10,2,3,8,0,0,7,1991,no,1235
401,no,unknown,363.0,1,3,technical degree,1237,3,M,66.0,1,3, manufacturing director ,1,divorced,4235,2,yes,21,4,3,1,17,2,3,7,0,7,7,1987,unknown,1237
402,no,travel rarely,1103.0,14,3,unknown,0,1,H,42.0,3,1, research scientist ,1,unknown,14377,1,unknown,14,3,4,2,0,3,2,9,0,6,8,1996,unknown,11320
403,no,unknown,920.0,3,3,life sciences,1255,3,H,96.0,1,5, research director ,4,unknown,18625,3,no,14,3,2,1,0,2,3,8,0,0,7,1980,unknown,1255
404,no,travel rarely,694.0,1,3,unknown,1264,4,M,66.0,2,4, research director ,4,divorced,3423,3,no,14,3,2,2,9,2,2,7,0,1,7,1994,yes,1264
405,no,unknown,1429.0,24,4,unknown,1283,24,H,67.0,3,3, manufacturing director ,4,single,20002,6,no,12,3,4,0,0,6,2,9,0,5,4,1964,no,1283
406,no,travel rarely,531.0,4,4,marketing,1293,4,M,56.0,2,3, sales executive ,4,single,20364,3,no,14,3,4,0,23,3,4,21,0,15,17,1980,unknown,1293
407,yes,travel rarely,621.0,15,3,medical,1295,1,M,73.0,3,3, healthcare representative ,4,married,14075,1,unknown,11,3,4,1,0,2,3,10,0,0,5,1979,unknown,1295
408,yes,unknown,806.0,7,3,technical degree,0,2,M,39.0,3,1, laboratory technician ,3,divorced,17285,3,yes,13,3,1,2,10,2,3,7,0,7,7,1994,yes,18238
409,no,travel rarely,604.0,8,3,unknown,0,3,H,56.0,4,2, sales executive ,4,married,11693,1,unknown,15,3,3,2,0,4,4,10,0,0,8,1991,no,7615
410,no,travel rarely,325.0,10,4,technical degree,0,4,M,63.0,3,3, healthcare representative ,3,married,5747,3,no,12,3,1,0,0,0,3,7,0,1,7,1987,yes,17768
411,yes,unknown,1030.0,5,3,unknown,0,2,H,64.0,3,3, sales executive ,2,single,21534,9,yes,19,3,3,0,0,2,2,8,0,7,7,1971,unknown,7064
412,no,travel rarely,524.0,33,2,unknown,1322,1,H,32.0,3,2, manufacturing director ,3,single,13352,0,unknown,11,3,1,0,0,6,0,8,0,1,7,1984,yes,1322
413,no,unknown,943.0,9,3,unknown,1344,4,H,86.0,3,3, healthcare representative ,4,unknown,5494,0,unknown,11,0,4,1,10,0,2,9,0,1,6,1989,yes,1344
414,no,unknown,1009.0,2,2,life sciences,1355,2,M,31.0,3,2, sales executive ,1,unknown,19461,3,unknown,15,3,4,1,11,3,3,7,0,1,7,1985,yes,1355
415,no,travel frequently,607.0,12,3,marketing,1362,12,M,83.0,4,2, sales executive ,1,married,2261,2,no,16,3,4,1,0,2,2,15,0,6,13,1987,yes,1362
416,no,unknown,817.0,1,3,unknown,1369,4,M,60.0,2,2, laboratory technician ,4,unknown,10846,0,no,12,3,2,1,10,0,3,9,0,0,0,1988,no,1369
417,yes,unknown,797.0,13,4,unknown,0,1,H,85.0,4,4, sales executive ,3,unknown,9277,6,unknown,17,3,3,0,0,2,2,19,0,3,8,1968,yes,3923
418,no,unknown,797.0,29,3,unknown,1377,2,H,86.0,3,2, laboratory technician ,3,unknown,17491,4,unknown,13,3,1,2,10,1,3,8,0,7,7,1989,no,1377
419,no,unknown,930.0,6,3,medical,1402,1,M,73.0,2,2, research scientist ,3,single,20003,1,yes,14,3,1,0,20,3,1,20,0,1,8,1980,no,1402
420,no,travel rarely,1147.0,10,3,human resources,1408,3,M,31.0,3,4, manager ,1,married,16616,0,unknown,14,3,3,1,21,5,3,20,0,0,9,1981,no,1408
421,no,travel rarely,652.0,7,3,unknown,1417,3,H,100.0,4,1, laboratory technician ,1,single,23577,0,no,12,3,4,0,8,2,3,7,0,0,7,1997,yes,1417
422,yes,unknown,337.0,14,1,other,1421,3,M,84.0,3,3, healthcare representative ,4,single,22930,0,yes,12,3,1,0,0,1,3,8,0,7,7,1994,yes,1421
423,no,unknown,971.0,1,3,unknown,1422,4,M,54.0,3,4, research director ,4,unknown,5652,6,unknown,19,3,4,0,29,3,2,20,0,12,7,1969,no,1422
424,no,unknown,1136.0,1,4,unknown,1424,2,H,81.0,4,4, research director ,4,divorced,12414,2,no,13,3,4,2,31,4,4,7,0,0,0,1968,yes,1424
425,no,non-travel,663.0,9,4,other,0,3,H,81.0,3,2, laboratory technician ,3,unknown,23099,3,no,11,3,3,2,11,2,0,8,0,0,7,1983,unknown,2525
426,no,unknown,326.0,8,2,unknown,0,1,H,31.0,3,3, sales executive ,4,divorced,8386,1,unknown,18,0,1,1,13,5,3,13,0,9,9,1992,yes,10173
427,yes,unknown,377.0,9,3,marketing,1457,1,H,52.0,3,3, sales executive ,4,divorced,15986,4,no,11,3,1,1,28,1,4,7,0,4,3,1977,unknown,1457
428,no,travel rarely,1038.0,20,3,medical,1460,2,H,95.0,1,3, healthcare representative ,1,unknown,19863,2,yes,18,3,2,1,0,2,3,7,0,0,7,1978,no,1460
429,no,travel rarely,1490.0,7,4,life sciences,1484,3,H,35.0,3,3, healthcare representative ,2,divorced,20948,3,unknown,14,3,2,2,29,3,3,8,0,0,7,1974,no,1484
430,no,travel rarely,1246.0,19,3,unknown,1497,3,H,77.0,2,2, sales executive ,3,unknown,23757,1,unknown,14,3,3,2,10,3,3,10,0,0,4,1994,yes,1497
431,yes,unknown,224.0,1,4,technical degree,1522,1,H,100.0,2,1, research scientist ,1,single,7568,6,no,13,3,3,0,0,2,1,9,0,0,7,1994,yes,1522
432,no,unknown,441.0,8,1,other,1544,3,M,39.0,1,2, healthcare representative ,1,unknown,7288,3,no,13,3,3,1,9,3,3,7,0,0,7,1994,yes,1544
433,no,travel rarely,898.0,6,2,unknown,0,3,H,38.0,3,4, manager ,4,single,17381,1,yes,21,4,4,0,21,2,3,21,0,7,7,1983,yes,19440
434,no,unknown,797.0,16,4,life sciences,0,3,M,96.0,3,2, sales executive ,3,divorced,13693,8,no,14,3,3,1,18,2,0,8,0,7,7,1975,yes,19325
435,yes,unknown,607.0,2,5,unknown,1572,3,M,78.0,2,3, manufacturing director ,4,married,14618,0,unknown,16,3,2,1,0,4,3,33,0,1,9,1970,unknown,1572
436,no,unknown,1313.0,7,3,medical,1608,2,M,31.0,3,5, research director ,4,unknown,3549,0,yes,14,0,4,1,0,4,2,22,0,1,10,1979,no,1608
437,no,unknown,1015.0,5,5,unknown,1611,3,M,50.0,1,2, laboratory technician ,1,unknown,23447,1,unknown,14,3,1,0,10,3,3,10,0,1,4,1978,no,1611
438,no,non-travel,797.0,26,3,marketing,1612,1,H,52.0,2,2, sales executive ,1,unknown,24162,1,unknown,15,0,1,1,10,2,0,10,0,4,5,1978,no,1612
439,no,travel frequently,426.0,10,4,unknown,1615,3,H,42.0,4,2, manufacturing director ,4,unknown,17000,1,unknown,13,3,1,1,9,3,0,9,0,7,2,1989,yes,1615
440,no,unknown,1387.0,10,5,medical,0,2,H,76.0,3,2, manufacturing director ,1,unknown,3835,2,unknown,13,3,4,3,0,3,3,7,0,7,7,1984,no,10652
441,no,unknown,1302.0,36,3,unknown,1619,36,H,66.0,2,1, laboratory technician ,1,divorced,16290,1,no,11,3,1,2,7,3,3,7,0,0,7,1996,unknown,1619
442,no,travel rarely,1329.0,2,2,unknown,1635,4,M,59.0,2,2, manufacturing director ,4,divorced,5388,1,unknown,19,3,1,2,10,3,3,10,0,3,9,1978,yes,1635
443,no,unknown,602.0,1,5,unknown,1642,1,H,37.0,3,2, human resources ,4,married,10503,4,yes,11,3,3,0,14,3,3,10,0,0,2,1979,yes,1642
444,no,unknown,772.0,2,1,life sciences,1653,4,H,77.0,4,2, manufacturing director ,3,divorced,4973,1,unknown,17,3,3,2,7,6,3,7,0,0,7,1998,no,1653
445,no,unknown,809.0,1,3,unknown,0,3,H,36.0,3,4, manager ,3,single,22384,4,unknown,14,3,1,0,23,2,3,8,0,0,0,1974,yes,4802
446,yes,travel frequently,797.0,7,2,unknown,1691,4,M,95.0,3,1, sales representative ,3,unknown,11740,2,unknown,11,0,3,2,19,3,3,9,0,7,7,1975,no,1691
447,no,unknown,786.0,7,3,medical,1693,4,H,76.0,3,1, laboratory technician ,4,unknown,11925,1,no,20,4,3,0,7,5,3,7,0,5,7,1997,yes,1693
448,no,travel rarely,921.0,2,3,life sciences,1703,3,M,96.0,4,3, healthcare representative ,4,unknown,14810,1,unknown,19,0,2,1,0,2,3,8,0,6,7,1979,yes,1703
449,no,unknown,530.0,2,4,unknown,0,3,M,51.0,3,2, sales representative ,4,single,7439,3,unknown,15,0,3,0,17,2,2,13,0,6,7,1987,unknown,8353
450,no,unknown,717.0,13,4,unknown,1727,3,H,34.0,3,2, healthcare representative ,2,single,9697,6,no,14,3,4,0,19,3,3,10,0,0,9,1977,yes,1727
451,no,unknown,1370.0,27,4,life sciences,1728,4,H,49.0,3,2, manufacturing director ,3,married,5151,2,unknown,16,3,2,1,17,3,3,7,0,0,7,1988,unknown,1728
452,no,travel frequently,1312.0,2,4,unknown,1745,4,M,78.0,2,1, research scientist ,1,unknown,26427,0,unknown,16,3,4,0,10,2,0,9,0,0,7,1993,no,1745
453,no,unknown,979.0,15,2,marketing,1754,3,H,94.0,2,3, sales executive ,1,unknown,3088,2,no,11,3,1,1,0,2,3,7,0,1,7,1993,yes,1754
454,no,non-travel,1283.0,2,3,marketing,1756,4,M,62.0,3,2, sales executive ,2,unknown,10697,8,no,15,3,4,0,13,2,2,11,0,1,7,1990,yes,1756
455,no,unknown,953.0,5,4,unknown,1764,2,H,65.0,3,1, research scientist ,2,single,17674,2,no,14,3,2,0,12,3,3,7,0,0,7,1991,yes,1764
456,no,travel rarely,244.0,2,3,life sciences,1778,2,H,97.0,3,1, human resources ,4,unknown,5033,0,no,13,3,2,0,0,5,3,9,0,1,8,1980,no,1778
457,no,travel rarely,196.0,29,4,marketing,0,1,M,91.0,2,2, sales executive ,4,unknown,13402,1,unknown,14,3,1,2,0,3,3,12,0,5,7,1992,yes,15288
458,yes,unknown,303.0,27,3,unknown,1797,3,H,84.0,3,2, sales executive ,4,unknown,13492,1,unknown,18,3,4,0,0,2,3,10,0,7,7,1988,no,1797
459,no,non-travel,1180.0,2,2,medical,1804,2,H,90.0,3,2, manufacturing director ,4,divorced,24442,2,no,14,3,3,1,15,6,3,7,0,1,7,1988,no,1804
460,no,unknown,1092.0,10,3,medical,1816,1,M,64.0,3,3, manufacturing director ,3,single,2739,9,no,14,3,2,0,9,3,3,7,0,0,2,1993,no,1816
461,yes,travel rarely,261.0,19,2,medical,1821,4,M,66.0,3,2, healthcare representative ,2,married,10842,4,no,22,4,4,1,13,2,4,9,7,3,7,1977,no,1821
462,no,non-travel,589.0,2,4,unknown,0,3,M,67.0,3,2, sales executive ,3,married,19665,4,unknown,22,4,2,2,10,3,4,8,0,5,7,1978,no,2412
463,no,travel frequently,1422.0,2,4,life sciences,1849,1,H,92.0,3,2, sales executive ,4,married,19246,1,unknown,20,4,3,1,7,5,3,7,0,7,7,1980,no,1849
464,yes,unknown,797.0,10,3,life sciences,1869,3,M,64.0,3,3, sales executive ,2,unknown,14011,5,unknown,21,4,3,3,14,2,3,8,0,0,7,1977,yes,1869
465,no,travel rarely,1137.0,1,4,unknown,0,1,H,98.0,3,4, manager ,1,unknown,18991,2,unknown,11,3,1,1,22,3,0,19,0,11,16,1983,yes,15983
466,no,travel rarely,511.0,2,2,unknown,1898,1,M,89.0,4,2, sales executive ,3,single,26997,0,no,14,3,2,0,9,5,2,8,0,0,7,1996,no,1898
467,no,unknown,1396.0,6,3,medical,1911,3,H,83.0,3,3, research director ,1,married,14842,9,no,13,3,2,1,18,3,4,13,0,5,7,1981,yes,1911
468,no,travel frequently,1096.0,6,3,other,0,3,H,61.0,4,1, laboratory technician ,4,married,7102,0,no,18,3,1,1,8,3,3,7,0,7,7,1997,yes,16440
469,no,travel frequently,797.0,1,2,life sciences,1927,3,H,42.0,2,2, sales executive ,4,married,19255,1,unknown,12,3,3,1,7,2,3,7,0,0,7,1995,yes,1927
470,no,unknown,1169.0,14,4,unknown,1934,3,H,64.0,3,2, research scientist ,2,married,2125,8,unknown,18,3,3,1,0,4,4,8,0,1,7,1976,no,1934
471,no,travel rarely,1239.0,13,4,medical,1951,4,H,39.0,3,3, sales executive ,3,divorced,22914,1,no,18,3,3,1,9,2,2,8,0,1,1,1989,yes,1951
472,no,unknown,157.0,1,3,medical,1952,3,H,95.0,3,1, laboratory technician ,1,single,20006,0,no,13,3,4,0,8,6,0,7,0,7,6,1997,yes,1952
473,no,travel rarely,954.0,9,3,unknown,1965,4,H,44.0,3,2, sales executive ,4,unknown,5099,1,unknown,14,3,1,0,0,5,0,7,0,0,7,1996,no,1965
474,yes,travel frequently,754.0,26,4,marketing,1967,1,H,63.0,3,2, sales executive ,4,unknown,21075,1,yes,11,3,3,0,10,4,3,10,0,0,8,1992,unknown,1967
475,no,travel frequently,1303.0,7,2,life sciences,0,4,H,66.0,3,2, healthcare representative ,3,divorced,18079,1,unknown,20,0,3,3,9,2,3,9,0,2,8,1990,unknown,19230
476,no,unknown,697.0,10,3,unknown,1979,3,M,40.0,3,3, research director ,3,married,26862,4,no,20,4,3,1,13,2,4,11,0,4,8,1992,yes,1979
477,no,unknown,1395.0,9,4,medical,2008,2,H,48.0,3,2, research scientist ,3,unknown,18698,1,no,19,3,2,0,10,5,3,10,0,0,8,1988,yes,2008
478,no,travel rarely,501.0,15,2,unknown,2009,2,M,95.0,3,2, healthcare representative ,4,married,21653,0,yes,13,0,1,1,0,6,3,9,0,8,1,1990,unknown,2009
479,no,travel rarely,116.0,24,1,life sciences,2014,1,H,52.0,3,2, research scientist ,4,single,5340,7,no,13,0,1,0,0,2,3,7,0,1,7,1984,no,2014
480,no,travel rarely,557.0,46,3,unknown,0,46,M,94.0,2,3, sales executive ,4,married,12695,0,no,19,3,3,2,10,2,3,9,0,3,4,1987,unknown,12702
481,no,travel rarely,582.0,28,4,life sciences,2034,1,M,60.0,2,4, manufacturing director ,2,married,5640,0,no,23,0,3,1,21,3,3,20,0,0,10,1982,unknown,2034
482,no,unknown,704.0,28,3,marketing,2035,4,M,95.0,2,2, sales executive ,3,married,8978,1,no,21,4,4,2,8,2,3,8,0,1,7,1989,no,2035
483,no,travel rarely,797.0,10,2,unknown,0,1,M,100.0,3,2, sales executive ,4,married,5982,1,no,11,3,3,1,10,1,3,10,0,1,9,1985,yes,12959
484,no,travel rarely,613.0,6,1,unknown,2062,4,H,42.0,2,3, healthcare representative ,1,unknown,21457,4,unknown,15,3,1,1,0,5,3,7,0,1,7,1984,yes,2062
485,no,travel rarely,419.0,7,4,unknown,28,1,M,53.0,3,3, research director ,2,single,21293,0,no,11,0,3,0,0,4,3,12,6,2,11,1989,no,28
486,no,travel rarely,477.0,7,4,medical,0,1,M,42.0,2,3, healthcare representative ,4,married,2094,3,unknown,14,0,4,1,24,4,3,22,0,5,17,1979,yes,17426
487,no,unknown,1211.0,5,4,unknown,62,1,H,98.0,3,2, sales executive ,4,single,20445,4,unknown,21,0,3,0,14,4,3,9,0,0,8,1977,unknown,62
488,no,travel frequently,857.0,10,3,life sciences,199,4,H,91.0,2,4, manager ,1,divorced,12888,4,unknown,13,3,2,1,0,2,2,7,0,7,7,1982,no,199
489,no,unknown,505.0,2,4,unknown,343,3,M,64.0,3,3, healthcare representative ,3,single,6420,0,no,25,4,4,0,20,1,3,19,0,11,8,1984,no,343
490,no,travel rarely,269.0,2,3,medical,351,4,M,56.0,2,1, laboratory technician ,1,divorced,8007,0,yes,11,3,3,1,10,4,3,9,0,7,8,1981,yes,351
491,no,travel frequently,553.0,5,4,unknown,428,4,M,74.0,3,3, manager ,2,married,23364,6,unknown,11,0,2,2,12,2,3,10,0,8,8,1990,yes,428
492,no,travel rarely,1296.0,5,4,technical degree,464,3,H,62.0,3,3, manufacturing director ,2,single,18264,0,no,13,3,4,0,17,5,3,16,0,0,13,1988,yes,464
493,yes,travel rarely,1277.0,15,1,medical,0,2,H,56.0,3,3, manager ,3,married,24619,7,unknown,12,3,4,0,15,2,4,7,0,7,7,1990,yes,17119
494,no,travel rarely,302.0,6,3,life sciences,0,2,M,75.0,3,4, manufacturing director ,3,single,20364,7,no,15,3,3,0,22,3,3,20,0,5,13,1983,no,18769
495,no,travel rarely,427.0,10,4,human resources,731,2,H,73.0,2,5, manager ,4,divorced,8861,3,no,15,3,2,3,23,2,2,21,0,12,6,1982,no,731
496,no,unknown,975.0,7,3,unknown,764,4,M,55.0,2,2, healthcare representative ,1,unknown,23398,8,no,19,3,1,0,0,2,1,7,0,0,7,1996,no,764
497,no,travel rarely,621.0,3,4,marketing,0,3,H,31.0,2,4, manager ,1,unknown,10084,1,unknown,11,3,1,0,0,3,4,34,0,1,16,1971,unknown,15882
498,no,travel rarely,1318.0,26,4,marketing,851,1,M,66.0,3,4, manager ,3,married,5594,2,no,14,3,3,1,0,2,2,20,0,4,17,1972,no,851
499,no,travel rarely,249.0,2,2,marketing,903,3,M,35.0,3,2, sales executive ,4,unknown,17783,0,unknown,22,4,1,1,8,2,3,7,0,7,7,1976,unknown,903
500,no,non-travel,881.0,2,4,unknown,905,1,H,98.0,3,4, manager ,1,divorced,4544,1,unknown,11,3,4,1,31,3,3,31,0,14,7,1973,no,905
501,no,travel rarely,1137.0,21,1,life sciences,942,4,M,51.0,3,2, healthcare representative ,4,married,19170,1,unknown,25,4,4,1,10,2,1,10,0,0,7,1988,yes,942
502,no,travel rarely,466.0,1,1,unknown,1026,4,M,65.0,2,4, manufacturing director ,4,married,7060,1,no,16,3,3,1,0,3,3,21,0,11,8,1984,yes,1026
503,no,travel frequently,945.0,22,3,medical,0,4,M,82.0,3,3, manufacturing director ,1,single,5083,1,unknown,13,3,3,0,0,2,3,21,0,2,8,1984,no,4745
504,no,unknown,509.0,7,2,unknown,1085,2,M,43.0,4,1, research scientist ,3,unknown,18863,1,no,13,3,3,0,0,3,3,10,0,0,8,1982,no,1085
505,yes,unknown,1376.0,1,2,medical,0,2,H,91.0,2,3, human resources ,1,married,2326,9,no,14,0,4,1,24,1,3,20,0,3,6,1979,unknown,6955
506,no,unknown,469.0,2,2,medical,1109,4,H,35.0,3,4, manager ,1,unknown,14399,0,no,17,3,4,1,23,3,3,22,0,13,7,1981,no,1109
507,no,travel rarely,994.0,7,4,life sciences,1118,2,H,87.0,3,3, healthcare representative ,2,single,15322,7,unknown,19,3,4,0,18,4,0,8,0,4,0,1971,unknown,1118
508,no,unknown,433.0,1,3,unknown,1152,3,H,37.0,4,1, human resources ,3,unknown,6004,1,no,13,3,4,1,7,2,4,7,0,5,0,1985,yes,1152
509,no,unknown,991.0,1,2,life sciences,0,4,M,44.0,3,1, human resources ,1,unknown,22957,6,unknown,12,3,3,0,10,3,4,7,0,5,7,1977,yes,4020
510,no,unknown,482.0,4,4,life sciences,1350,3,H,87.0,3,2, research scientist ,3,single,2690,1,unknown,11,3,2,0,0,3,3,9,0,1,1,1988,no,1350
511,no,travel rarely,1083.0,29,1,life sciences,1514,3,H,96.0,1,2, manufacturing director ,2,married,3173,1,unknown,14,0,2,2,8,2,2,8,0,1,7,1995,yes,1514
512,no,unknown,136.0,28,3,life sciences,1523,4,H,32.0,3,4, research director ,1,married,22074,3,no,13,3,3,1,0,1,4,20,0,14,17,1979,yes,1523
513,no,unknown,333.0,22,5,unknown,1539,3,H,88.0,1,4, research director ,4,unknown,24450,1,unknown,13,3,4,0,0,2,3,32,0,13,9,1973,no,1539
514,no,travel rarely,685.0,23,5,marketing,0,3,H,60.0,2,5, manager ,4,unknown,23037,1,no,21,4,3,1,36,3,3,36,0,2,13,1968,yes,2414
515,no,unknown,1462.0,6,3,unknown,1588,4,H,38.0,4,3, sales executive ,3,married,4658,2,no,11,3,1,1,11,3,3,7,0,7,6,1984,yes,1588
516,no,unknown,722.0,13,4,unknown,1617,13,M,84.0,3,1, laboratory technician ,1,unknown,22102,1,unknown,14,3,4,1,10,3,2,9,0,1,4,1974,yes,1617
517,no,unknown,797.0,28,2,technical degree,1719,4,M,48.0,2,4, research director ,2,single,17119,1,unknown,11,0,3,0,21,2,3,21,6,8,6,1978,no,1719
518,no,unknown,1277.0,2,3,unknown,0,3,H,74.0,3,3, sales executive ,4,unknown,5596,4,unknown,12,3,2,1,0,5,2,10,0,0,3,1977,no,19428
519,no,unknown,1131.0,15,3,unknown,1870,4,M,77.0,2,1, research scientist ,1,married,23844,0,no,19,3,4,1,0,2,0,7,0,7,3,1996,no,1870
520,no,travel rarely,300.0,2,3,unknown,2031,1,H,56.0,3,5, manager ,3,married,17312,5,unknown,11,3,1,0,24,2,2,22,0,4,14,1981,yes,2031
521,no,unknown,1023.0,2,3,unknown,2065,4,H,63.0,2,2, sales executive ,2,married,13243,2,unknown,14,3,4,0,17,3,2,9,0,0,8,1974,yes,2065
522,no,travel rarely,153.0,15,2,life sciences,15,4,M,49.0,2,2, laboratory technician ,3,single,12682,0,yes,12,3,4,0,10,3,3,9,0,0,8,1994,yes,15
523,no,non-travel,1065.0,12,4,marketing,60,12,H,72.0,3,2, sales executive ,3,unknown,10034,0,no,20,4,3,0,0,2,3,9,0,8,7,1989,no,60
524,no,unknown,1115.0,1,4,unknown,0,1,H,51.0,2,2, manufacturing director ,3,divorced,2689,1,no,18,3,3,1,0,2,0,7,0,0,7,1986,no,5725
525,no,unknown,1195.0,11,3,unknown,85,2,H,95.0,2,2, manufacturing director ,2,single,22656,1,no,13,3,3,0,6,3,3,6,0,0,3,1987,yes,85
526,no,unknown,1316.0,29,3,unknown,0,3,H,83.0,3,1, research scientist ,4,single,9752,5,unknown,13,3,2,0,9,2,2,6,0,0,3,1978,yes,14749
527,no,travel rarely,665.0,15,3,unknown,346,3,H,60.0,3,1, research scientist ,4,unknown,22673,1,no,19,3,1,0,6,1,3,6,0,1,5,1994,no,346
528,no,unknown,1479.0,1,3,unknown,384,3,M,84.0,3,2, manufacturing director ,2,unknown,26767,1,no,20,4,1,1,6,6,1,6,0,1,4,1997,no,384
529,no,unknown,304.0,9,4,life sciences,498,2,H,92.0,3,2, sales executive ,4,single,20750,1,no,16,3,4,0,0,1,3,7,0,0,7,1995,yes,498
530,no,travel frequently,1368.0,30,4,technical degree,551,4,M,66.0,2,2, healthcare representative ,4,married,4386,0,no,11,3,4,3,7,4,4,6,0,0,4,1981,unknown,551
531,no,travel rarely,828.0,2,1,life sciences,604,2,H,77.0,3,2, sales executive ,4,unknown,8346,4,yes,13,3,3,0,10,2,4,6,0,0,5,1992,yes,604
532,no,travel rarely,799.0,47,3,unknown,0,47,M,59.0,3,3, manufacturing director ,4,single,23848,4,unknown,17,3,4,0,0,3,4,6,0,1,2,1986,unknown,10729
533,no,non-travel,142.0,9,4,unknown,626,1,H,69.0,3,3, sales executive ,2,divorced,24666,1,no,13,3,4,1,9,6,3,9,0,7,7,1986,no,626
534,no,travel rarely,446.0,1,4,life sciences,0,2,M,65.0,3,2, manufacturing director ,2,married,15701,6,unknown,12,3,2,1,8,2,2,6,0,4,3,1986,no,7680
535,no,travel rarely,691.0,23,3,medical,0,2,H,89.0,4,1, research scientist ,4,unknown,21630,1,unknown,11,3,2,2,0,3,3,6,0,1,4,1999,yes,19737
536,no,unknown,1246.0,3,3,unknown,644,1,H,99.0,3,5, manager ,2,married,7999,1,no,11,3,3,1,0,2,3,32,0,10,7,1973,no,644
537,no,unknown,254.0,1,2,life sciences,649,2,H,83.0,2,1, research scientist ,4,unknown,22794,1,yes,13,3,4,1,6,3,3,6,0,1,3,1989,yes,649
538,no,travel frequently,1410.0,3,1,medical,714,4,M,71.0,4,2, sales executive ,4,unknown,16673,1,unknown,20,0,2,2,0,3,3,6,0,0,4,1996,no,714
539,no,unknown,883.0,42,1,unknown,781,42,M,32.0,3,2, sales executive ,4,single,22807,1,no,23,4,2,0,6,5,2,6,0,1,4,1998,no,781
