,Age,Attrition,Businesstravel,Dailyrate,Distancefromhome,Education,Educationfield,Employeenumber,Environmentsatisfaction,Gender,Hourlyrate,Jobinvolvement,Joblevel,Jobrole,Jobsatisfaction,Maritalstatus,Monthlyrate,Numcompaniesworked,Overtime,Percentsalaryhike,Performancerating,Relationshipsatisfaction,Stockoptionlevel,Trainingtimeslastyear,Worklifebalance,Yearsatcompany,Yearssincelastpromotion,Yearswithcurrmanager,Datebirth,Remotework,Employee_id
286,27,No,travel_rarely,894.0,9,3,medical,260.0,4.0,M,99.0,3.0,1.0, research scientist ,2.0,single,11781,1,no,16.0,3.0,4.0,0.0,2.0,2.0,7.0,0,3,1996,no,260
287,37,No,travel_rarely,290.0,21,3,life sciences,267.0,2.0,H,65.0,4.0,1.0, research scientist ,1.0,unknown,22977,1,yes,12.0,3.0,1.0,1.0,3.0,2.0,8.0,1,7,1986,yes,267
288,38,No,travel_rarely,1084.0,29,3,unknown,,4.0,H,54.0,3.0,2.0, manufacturing director ,4.0,married,4185,3,no,18.0,3.0,1.0,1.0,3.0,1.0,7.0,1,7,1985,yes,14547
289,49,No,non-travel,1002.0,18,4,unknown,275.0,4.0,H,92.0,3.0,2.0, manufacturing director ,4.0,divorced,23793,1,yes,15.0,3.0,1.0,2.0,0.0,3.0,7.0,1,7,1974,no,275
290,27,No,travel_rarely,1242.0,20,3,life sciences,293.0,4.0,M,90.0,3.0,2.0, sales executive ,3.0,single,12916,1,no,14.0,3.0,4.0,0.0,2.0,3.0,7.0,0,7,1996,no,293
291,45,No,travel_rarely,1052.0,6,3,medical,302.0,4.0,M,57.0,2.0,3.0, sales executive ,4.0,single,16840,6,no,12.0,3.0,4.0,0.0,2.0,3.0,19.0,12,8,1978,yes,302
292,35,No,travel_rarely,944.0,1,3,unknown,314.0,3.0,M,92.0,3.0,3.0, sales executive ,3.0,single,9096,1,no,14.0,3.0,1.0,0.0,3.0,4.0,10.0,0,8,1988,yes,314
293,33,Yes,travel_rarely,465.0,2,2,unknown,,1.0,M,39.0,3.0,1.0, laboratory technician ,1.0,unknown,21509,7,no,20.0,3.0,1.0,0.0,3.0,4.0,9.0,1,7,1990,yes,13625
294,52,No,travel_rarely,771.0,2,4,life sciences,329.0,1.0,H,79.0,2.0,5.0, manager ,3.0,unknown,21030,1,yes,18.0,3.0,4.0,0.0,2.0,4.0,33.0,15,12,1971,yes,329
295,40,No,travel_rarely,1416.0,2,2,medical,,1.0,H,49.0,3.0,5.0, research director ,3.0,unknown,5949,0,no,19.0,3.0,4.0,1.0,5.0,3.0,21.0,3,9,1983,yes,2578
296,38,No,non-travel,1327.0,2,2,life sciences,361.0,4.0,H,39.0,2.0,2.0, sales executive ,4.0,unknown,19682,3,no,18.0,3.0,4.0,1.0,0.0,3.0,8.0,7,5,1985,yes,361
297,46,No,travel_rarely,488.0,27,3,unknown,363.0,2.0,M,75.0,1.0,4.0, manager ,2.0,married,14977,3,yes,12.0,3.0,2.0,1.0,2.0,2.0,7.0,7,7,1977,no,363
298,45,No,travel_rarely,1385.0,20,2,medical,,3.0,H,79.0,3.0,4.0, healthcare representative ,4.0,married,7501,0,yes,14.0,3.0,2.0,0.0,2.0,3.0,20.0,4,10,1978,yes,13233
299,47,Yes,non-travel,666.0,10,4,life sciences,376.0,1.0,H,88.0,3.0,3.0, manager ,2.0,married,10268,1,no,12.0,3.0,4.0,1.0,2.0,2.0,10.0,9,9,1976,yes,376
300,35,No,travel_rarely,1315.0,22,3,life sciences,381.0,2.0,M,71.0,4.0,3.0, manager ,2.0,divorced,19100,7,no,18.0,3.0,2.0,1.0,6.0,2.0,7.0,6,2,1988,no,381
301,29,No,travel_frequently,442.0,2,2,unknown,388.0,2.0,H,44.0,3.0,2.0, sales executive ,4.0,single,20260,1,no,18.0,3.0,1.0,0.0,3.0,3.0,10.0,0,9,1994,yes,388
302,55,No,travel_rarely,147.0,20,2,technical degree,389.0,2.0,H,37.0,3.0,2.0, laboratory technician ,4.0,married,15972,3,no,19.0,3.0,4.0,1.0,4.0,3.0,10.0,0,8,1968,yes,389
303,26,Yes,travel_rarely,950.0,45,4,unknown,401.0,4.0,H,48.0,2.0,2.0, sales executive ,4.0,single,8450,1,no,12.0,3.0,2.0,0.0,0.0,3.0,8.0,7,4,1997,yes,401
304,31,No,travel_rarely,218.0,7,3,technical degree,416.0,2.0,H,100.0,4.0,2.0, sales executive ,4.0,unknown,12241,4,no,11.0,3.0,2.0,1.0,3.0,2.0,8.0,7,7,1992,yes,416
305,43,No,travel_frequently,804.0,10,4,life sciences,430.0,3.0,M,33.0,3.0,1.0, laboratory technician ,4.0,unknown,10675,0,no,19.0,3.0,1.0,0.0,5.0,3.0,8.0,1,7,1980,yes,430
306,31,No,travel_rarely,691.0,13,3,marketing,438.0,4.0,H,73.0,3.0,2.0, sales executive ,4.0,unknown,7143,4,no,12.0,3.0,4.0,3.0,3.0,3.0,7.0,1,7,1992,yes,438
307,32,No,travel_rarely,1018.0,2,4,medical,,1.0,M,74.0,4.0,2.0, research scientist ,4.0,single,10557,7,no,16.0,3.0,3.0,0.0,0.0,2.0,7.0,0,7,1991,yes,12078
308,33,No,travel_rarely,804.0,10,3,unknown,446.0,2.0,H,46.0,2.0,2.0, sales executive ,4.0,unknown,4317,3,no,14.0,3.0,3.0,0.0,6.0,2.0,7.0,0,1,1990,no,446
309,43,No,travel_frequently,559.0,10,4,life sciences,448.0,3.0,M,82.0,2.0,2.0, laboratory technician ,3.0,divorced,6227,1,no,11.0,3.0,2.0,1.0,3.0,4.0,9.0,0,0,1980,no,448
310,29,Yes,travel_rarely,318.0,8,4,unknown,454.0,2.0,H,77.0,1.0,1.0, laboratory technician ,1.0,unknown,4759,1,no,11.0,3.0,4.0,0.0,4.0,2.0,7.0,0,7,1994,no,454
311,27,No,travel_rarely,1130.0,8,4,unknown,458.0,2.0,M,56.0,3.0,2.0, sales executive ,2.0,unknown,3415,1,no,18.0,3.0,1.0,1.0,3.0,3.0,8.0,0,7,1996,no,458
312,29,No,travel_rarely,144.0,10,1,unknown,,4.0,M,39.0,2.0,2.0, sales executive ,2.0,divorced,11866,1,yes,14.0,3.0,1.0,2.0,2.0,3.0,7.0,1,7,1994,no,8623
313,37,No,travel_rarely,1319.0,6,3,medical,,3.0,H,51.0,4.0,2.0, research scientist ,1.0,divorced,17001,4,no,13.0,3.0,1.0,2.0,2.0,3.0,7.0,6,7,1986,no,19458
314,26,No,travel_rarely,933.0,1,3,unknown,476.0,3.0,H,57.0,3.0,2.0, sales executive ,3.0,unknown,20156,1,no,17.0,3.0,2.0,1.0,3.0,3.0,8.0,7,7,1997,yes,476
315,40,No,travel_rarely,1171.0,10,4,life sciences,483.0,4.0,M,46.0,4.0,1.0, laboratory technician ,3.0,married,22495,3,yes,13.0,3.0,3.0,1.0,3.0,3.0,7.0,1,7,1983,yes,483
316,41,Yes,travel_rarely,143.0,4,3,unknown,488.0,1.0,H,56.0,3.0,2.0, sales executive ,2.0,unknown,9558,1,no,18.0,3.0,3.0,0.0,5.0,3.0,8.0,7,7,1982,no,488
317,51,No,travel_rarely,1178.0,14,2,unknown,500.0,3.0,M,87.0,3.0,2.0, sales executive ,4.0,unknown,14862,4,no,11.0,3.0,3.0,1.0,2.0,2.0,7.0,0,7,1972,yes,500
318,37,No,travel_rarely,1107.0,14,3,unknown,,4.0,M,95.0,3.0,1.0, laboratory technician ,1.0,unknown,26914,1,no,12.0,3.0,3.0,1.0,2.0,2.0,18.0,12,17,1986,no,15225
319,56,No,travel_rarely,906.0,6,3,life sciences,,3.0,M,86.0,4.0,4.0, sales executive ,1.0,married,18256,9,no,11.0,3.0,4.0,3.0,0.0,2.0,7.0,7,7,1967,yes,18204
320,41,No,travel_rarely,645.0,1,3,marketing,534.0,2.0,H,49.0,4.0,3.0, sales executive ,1.0,married,19566,1,no,16.0,3.0,3.0,1.0,2.0,3.0,10.0,0,7,1982,yes,534
321,46,No,travel_rarely,1485.0,18,3,medical,,3.0,M,87.0,3.0,2.0, manufacturing director ,3.0,unknown,26314,2,no,14.0,3.0,3.0,1.0,5.0,2.0,10.0,0,8,1977,no,3710
322,30,No,non-travel,1116.0,2,3,unknown,,3.0,M,49.0,3.0,1.0, laboratory technician ,4.0,single,7181,0,no,14.0,3.0,3.0,0.0,2.0,2.0,11.0,6,7,1993,no,16927
323,35,No,travel_rarely,1276.0,16,3,life sciences,586.0,4.0,H,72.0,3.0,3.0, healthcare representative ,3.0,unknown,14295,4,yes,12.0,3.0,3.0,0.0,2.0,3.0,8.0,0,0,1988,no,586
324,48,No,travel_rarely,163.0,2,5,unknown,595.0,2.0,M,37.0,3.0,2.0, sales executive ,4.0,married,19658,2,no,14.0,3.0,1.0,1.0,2.0,3.0,9.0,6,7,1975,yes,595
325,45,No,travel_rarely,561.0,2,3,other,,4.0,H,61.0,3.0,2.0, sales executive ,2.0,unknown,16177,0,no,19.0,3.0,2.0,1.0,3.0,4.0,8.0,3,7,1978,yes,13866
326,26,Yes,travel_frequently,426.0,17,4,life sciences,608.0,2.0,M,58.0,3.0,1.0, human resources ,3.0,unknown,22808,0,yes,11.0,3.0,2.0,1.0,2.0,3.0,7.0,1,0,1997,yes,608
327,41,No,travel_rarely,509.0,2,4,other,616.0,1.0,M,62.0,2.0,2.0, healthcare representative ,3.0,single,2112,2,yes,17.0,3.0,1.0,0.0,3.0,3.0,8.0,0,7,1982,yes,616
328,34,No,travel_rarely,258.0,21,4,unknown,621.0,4.0,H,74.0,4.0,2.0, sales executive ,4.0,single,19921,1,no,12.0,3.0,4.0,0.0,3.0,3.0,10.0,5,7,1989,yes,621
329,31,No,travel_rarely,525.0,6,4,medical,653.0,1.0,H,66.0,4.0,2.0, sales executive ,4.0,divorced,6219,4,no,22.0,4.0,4.0,2.0,4.0,4.0,7.0,5,7,1992,yes,653
330,43,No,travel_frequently,804.0,9,5,unknown,663.0,4.0,H,72.0,3.0,2.0, laboratory technician ,3.0,divorced,19627,3,no,13.0,3.0,2.0,1.0,3.0,3.0,8.0,4,7,1980,no,663
331,53,No,travel_rarely,238.0,1,1,unknown,682.0,4.0,M,34.0,3.0,2.0, sales executive ,1.0,single,7507,7,no,20.0,4.0,4.0,0.0,2.0,4.0,14.0,8,10,1970,no,682
332,37,No,travel_rarely,482.0,3,3,other,,3.0,H,36.0,3.0,3.0, manufacturing director ,3.0,married,9606,1,no,15.0,3.0,3.0,1.0,2.0,3.0,10.0,7,8,1986,yes,10609
333,54,No,travel_rarely,397.0,19,4,unknown,,3.0,H,88.0,3.0,3.0, human resources ,2.0,unknown,6729,2,no,15.0,3.0,3.0,1.0,1.0,4.0,9.0,7,1,1969,yes,18914
334,38,No,travel_rarely,243.0,7,4,marketing,,4.0,M,46.0,2.0,2.0, sales executive ,4.0,unknown,7791,0,no,20.0,3.0,1.0,0.0,2.0,3.0,7.0,0,5,1985,yes,17391
335,29,No,travel_rarely,806.0,1,4,life sciences,710.0,2.0,H,76.0,1.0,1.0, research scientist ,4.0,divorced,18959,1,no,18.0,3.0,4.0,1.0,5.0,3.0,10.0,2,8,1994,yes,710
336,34,No,travel_rarely,1442.0,9,3,medical,717.0,4.0,M,46.0,2.0,3.0, healthcare representative ,2.0,unknown,17654,1,no,14.0,3.0,2.0,0.0,3.0,4.0,8.0,7,7,1989,no,717
337,39,No,travel_rarely,408.0,2,4,technical degree,721.0,4.0,M,80.0,2.0,2.0, healthcare representative ,3.0,single,20978,1,no,11.0,3.0,1.0,0.0,4.0,3.0,20.0,11,10,1984,no,721
338,32,No,travel_rarely,929.0,10,3,marketing,722.0,4.0,H,55.0,3.0,2.0, sales executive ,4.0,unknown,21703,1,no,12.0,3.0,4.0,0.0,2.0,2.0,10.0,0,8,1991,yes,722
339,38,No,travel_rarely,827.0,1,4,life sciences,724.0,2.0,M,33.0,4.0,2.0, healthcare representative ,4.0,unknown,19383,0,no,13.0,3.0,3.0,0.0,4.0,3.0,9.0,1,8,1985,yes,724
340,27,No,travel_rarely,804.0,1,2,life sciences,725.0,3.0,M,0.0,3.0,3.0, manufacturing director ,1.0,married,6009,1,no,11.0,3.0,4.0,0.0,3.0,3.0,9.0,0,7,1996,no,725
341,32,No,travel_rarely,1018.0,3,2,life sciences,,3.0,M,39.0,3.0,3.0, research director ,4.0,single,19373,3,no,15.0,3.0,4.0,0.0,6.0,3.0,7.0,7,7,1991,no,13558
342,47,No,travel_rarely,703.0,35,4,marketing,728.0,4.0,H,42.0,3.0,2.0, sales executive ,1.0,single,11825,2,no,12.0,3.0,4.0,0.0,2.0,3.0,7.0,1,7,1976,no,728
343,27,No,travel_frequently,294.0,10,2,unknown,733.0,4.0,H,32.0,3.0,3.0, manufacturing director ,1.0,unknown,4809,1,no,21.0,4.0,3.0,2.0,4.0,2.0,9.0,1,7,1996,yes,733
344,41,No,travel_rarely,314.0,1,3,unknown,734.0,4.0,H,59.0,2.0,5.0, manager ,3.0,unknown,19562,1,no,12.0,3.0,2.0,1.0,3.0,3.0,22.0,2,10,1982,no,734
345,28,Yes,travel_rarely,654.0,35,2,unknown,,3.0,M,67.0,1.0,1.0, research scientist ,2.0,unknown,3872,7,yes,13.0,3.0,4.0,0.0,4.0,3.0,7.0,3,7,1995,yes,6946
346,36,No,travel_rarely,427.0,8,3,unknown,742.0,1.0,M,63.0,4.0,3.0, research director ,1.0,married,20335,9,no,14.0,3.0,1.0,1.0,2.0,3.0,8.0,0,5,1987,no,742
347,30,No,travel_rarely,501.0,27,5,marketing,747.0,3.0,H,99.0,3.0,2.0, sales executive ,4.0,divorced,25275,7,no,23.0,3.0,4.0,1.0,2.0,2.0,8.0,7,7,1993,yes,747
348,56,No,travel_rarely,804.0,9,3,unknown,762.0,3.0,H,81.0,3.0,4.0, healthcare representative ,4.0,married,20420,7,no,11.0,3.0,3.0,0.0,1.0,2.0,10.0,1,1,1967,no,762
349,45,No,travel_rarely,954.0,2,2,unknown,783.0,2.0,H,46.0,1.0,2.0, sales representative ,3.0,single,12388,0,no,13.0,3.0,1.0,0.0,3.0,3.0,8.0,3,1,1978,yes,783
350,36,No,non-travel,1434.0,8,4,unknown,789.0,1.0,H,76.0,2.0,3.0, sales executive ,1.0,single,14229,1,no,15.0,3.0,2.0,0.0,1.0,3.0,10.0,0,9,1987,no,789
351,29,No,travel_rarely,657.0,27,3,medical,793.0,2.0,M,66.0,3.0,2.0, healthcare representative ,3.0,married,25549,4,no,12.0,3.0,1.0,1.0,3.0,2.0,8.0,1,1,1994,yes,793
352,38,No,travel_rarely,240.0,2,4,life sciences,803.0,1.0,M,75.0,4.0,2.0, manufacturing director ,1.0,single,26085,6,no,12.0,3.0,4.0,0.0,2.0,3.0,15.0,4,12,1985,yes,803
353,40,No,travel_rarely,791.0,13,2,medical,,1.0,M,38.0,4.0,2.0, healthcare representative ,2.0,unknown,9931,1,no,24.0,4.0,4.0,1.0,2.0,3.0,8.0,3,7,1983,yes,4248
354,42,No,travel_frequently,570.0,8,3,unknown,809.0,2.0,H,66.0,3.0,5.0, manager ,4.0,unknown,16225,1,no,13.0,3.0,2.0,1.0,4.0,2.0,24.0,14,9,1981,yes,809
355,36,No,travel_rarely,676.0,1,3,other,823.0,3.0,M,35.0,3.0,2.0, manufacturing director ,2.0,unknown,23361,0,no,15.0,3.0,1.0,1.0,2.0,3.0,9.0,0,5,1987,no,823
356,29,No,travel_rarely,804.0,23,2,unknown,,3.0,H,81.0,4.0,1.0, research scientist ,3.0,married,23779,1,no,24.0,4.0,3.0,1.0,3.0,3.0,10.0,0,7,1994,yes,9984
357,55,Yes,travel_rarely,436.0,2,1,medical,842.0,3.0,H,37.0,3.0,2.0, sales executive ,4.0,single,21519,4,no,16.0,3.0,3.0,0.0,3.0,2.0,9.0,7,3,1968,no,842
358,28,No,travel_rarely,760.0,2,4,unknown,,2.0,M,81.0,3.0,2.0, sales executive ,2.0,unknown,3698,1,no,20.0,4.0,1.0,0.0,2.0,3.0,8.0,7,5,1995,yes,13925
359,26,Yes,travel_rarely,804.0,5,2,medical,,3.0,M,88.0,2.0,1.0, research scientist ,3.0,married,20898,1,no,14.0,3.0,1.0,1.0,2.0,3.0,8.0,1,7,1997,yes,5237
360,44,No,travel_rarely,661.0,9,2,unknown,913.0,2.0,H,61.0,3.0,1.0, research scientist ,1.0,unknown,7508,1,yes,13.0,3.0,4.0,0.0,0.0,3.0,8.0,7,1,1979,yes,913
361,41,Yes,travel_rarely,1085.0,2,4,life sciences,927.0,2.0,M,57.0,1.0,1.0, laboratory technician ,4.0,divorced,17725,4,yes,13.0,3.0,3.0,1.0,1.0,2.0,7.0,1,0,1982,yes,927
362,31,No,travel_rarely,154.0,7,4,unknown,941.0,2.0,H,41.0,2.0,1.0, sales representative ,3.0,unknown,11737,3,no,15.0,3.0,2.0,0.0,2.0,4.0,7.0,5,2,1992,no,941
363,26,No,travel_frequently,1283.0,28,3,medical,956.0,2.0,H,52.0,2.0,2.0, sales executive ,1.0,unknown,11148,1,no,12.0,3.0,2.0,0.0,2.0,3.0,7.0,0,7,1997,yes,956
364,31,No,travel_rarely,616.0,12,3,medical,,4.0,M,41.0,3.0,2.0, healthcare representative ,4.0,unknown,17369,0,no,11.0,3.0,3.0,2.0,2.0,1.0,9.0,8,5,1992,no,20507
365,32,No,travel_rarely,498.0,3,4,medical,966.0,3.0,M,93.0,3.0,2.0, manufacturing director ,1.0,married,13554,1,no,12.0,3.0,3.0,1.0,2.0,4.0,8.0,6,3,1991,no,966
366,36,Yes,travel_rarely,530.0,3,1,life sciences,967.0,3.0,H,51.0,2.0,3.0, sales executive ,4.0,married,5518,1,no,11.0,3.0,1.0,1.0,6.0,3.0,16.0,3,7,1987,no,967
367,45,No,non-travel,805.0,47,2,unknown,972.0,4.0,H,57.0,3.0,2.0, laboratory technician ,2.0,unknown,23163,1,no,12.0,3.0,2.0,0.0,5.0,2.0,9.0,0,8,1978,yes,972
368,39,No,travel_rarely,903.0,2,5,unknown,,1.0,H,41.0,4.0,3.0, sales executive ,3.0,single,2560,0,no,18.0,3.0,4.0,0.0,3.0,3.0,8.0,0,7,1984,no,11069
369,36,No,non-travel,1229.0,8,4,technical degree,990.0,1.0,H,84.0,3.0,2.0, sales executive ,4.0,divorced,25952,4,no,13.0,3.0,4.0,2.0,3.0,3.0,7.0,0,7,1987,yes,990
370,46,No,travel_rarely,566.0,7,2,medical,,4.0,H,0.0,3.0,3.0, manufacturing director ,3.0,unknown,24208,6,no,13.0,3.0,2.0,1.0,3.0,3.0,8.0,0,7,1977,no,5066
371,54,No,travel_rarely,1441.0,17,3,technical degree,1013.0,3.0,M,56.0,3.0,3.0, manufacturing director ,3.0,unknown,13943,8,no,11.0,3.0,3.0,1.0,2.0,3.0,10.0,0,8,1969,yes,1013
372,30,No,travel_rarely,153.0,8,2,unknown,1015.0,2.0,M,73.0,4.0,3.0, research director ,1.0,unknown,17802,0,yes,12.0,3.0,3.0,3.0,4.0,2.0,8.0,1,7,1993,yes,1015
373,26,No,travel_rarely,1066.0,2,2,medical,1018.0,4.0,H,32.0,4.0,2.0, manufacturing director ,4.0,married,3334,1,no,12.0,3.0,2.0,0.0,2.0,3.0,8.0,1,3,1997,no,1018
374,55,No,travel_frequently,135.0,18,4,medical,1034.0,3.0,H,62.0,3.0,2.0, healthcare representative ,2.0,married,12992,3,no,14.0,3.0,4.0,2.0,3.0,3.0,8.0,6,7,1968,yes,1034
375,50,No,non-travel,145.0,1,3,life sciences,,4.0,M,95.0,3.0,2.0, sales executive ,3.0,married,24920,0,no,12.0,3.0,1.0,1.0,3.0,3.0,18.0,0,13,1973,yes,17757
376,32,No,non-travel,1109.0,29,4,unknown,1046.0,4.0,M,69.0,3.0,1.0, laboratory technician ,3.0,single,11135,9,no,12.0,3.0,2.0,0.0,2.0,3.0,8.0,7,7,1991,yes,1046
377,53,No,travel_frequently,124.0,2,3,marketing,1050.0,3.0,M,38.0,2.0,3.0, sales executive ,2.0,unknown,23537,2,no,12.0,3.0,1.0,1.0,2.0,3.0,15.0,6,12,1970,yes,1050
378,40,No,travel_rarely,300.0,26,3,unknown,,3.0,H,74.0,3.0,2.0, sales executive ,1.0,married,22217,1,no,14.0,3.0,2.0,1.0,3.0,2.0,7.0,7,5,1983,no,2446
379,55,No,travel_rarely,444.0,2,1,unknown,1074.0,3.0,H,40.0,2.0,4.0, manager ,1.0,single,17323,7,no,15.0,3.0,2.0,0.0,3.0,4.0,9.0,6,2,1968,yes,1074
380,28,Yes,non-travel,1366.0,24,2,unknown,1082.0,2.0,H,72.0,2.0,3.0, healthcare representative ,1.0,single,12355,1,no,12.0,3.0,1.0,0.0,2.0,2.0,10.0,1,9,1995,no,1082
381,28,No,travel_rarely,857.0,10,3,other,1097.0,3.0,M,59.0,3.0,2.0, research scientist ,3.0,single,7909,3,no,13.0,3.0,4.0,0.0,4.0,4.0,8.0,1,7,1995,yes,1097
382,35,Yes,travel_rarely,1204.0,4,3,technical degree,1100.0,4.0,H,86.0,3.0,3.0, sales executive ,1.0,unknown,10333,0,no,22.0,4.0,1.0,0.0,2.0,3.0,8.0,4,7,1988,yes,1100
383,33,Yes,travel_frequently,827.0,36,4,medical,1101.0,3.0,M,54.0,2.0,2.0, research scientist ,3.0,single,3129,1,no,22.0,4.0,2.0,0.0,4.0,3.0,13.0,3,8,1990,yes,1101
384,25,Yes,travel_rarely,1219.0,4,1,technical degree,1106.0,4.0,H,32.0,3.0,1.0, laboratory technician ,4.0,married,4605,1,no,15.0,3.0,2.0,1.0,3.0,4.0,7.0,5,6,1998,yes,1106
385,38,No,travel_rarely,770.0,10,4,unknown,1119.0,3.0,H,0.0,2.0,3.0, sales executive ,3.0,unknown,5569,0,yes,14.0,3.0,2.0,2.0,2.0,3.0,8.0,2,7,1985,yes,1119
386,28,No,travel_rarely,950.0,12,3,unknown,,1.0,M,93.0,3.0,3.0, manufacturing director ,2.0,unknown,8039,0,no,17.0,3.0,2.0,3.0,3.0,2.0,9.0,1,7,1995,yes,19587
387,43,No,travel_frequently,1082.0,27,3,life sciences,1126.0,3.0,M,83.0,3.0,3.0, manufacturing director ,1.0,married,11535,8,no,11.0,3.0,3.0,1.0,1.0,3.0,8.0,0,1,1980,no,1126
388,39,Yes,travel_frequently,203.0,2,3,life sciences,,1.0,H,84.0,3.0,4.0, healthcare representative ,4.0,unknown,13547,7,no,11.0,3.0,4.0,3.0,4.0,3.0,18.0,11,5,1984,no,16610
389,40,No,travel_rarely,1308.0,14,3,unknown,1128.0,3.0,H,44.0,2.0,5.0, research director ,3.0,unknown,17544,1,no,14.0,3.0,1.0,0.0,2.0,3.0,20.0,4,9,1983,yes,1128
390,29,No,travel_rarely,718.0,8,1,medical,,2.0,H,79.0,2.0,2.0, manufacturing director ,4.0,married,17689,1,no,15.0,3.0,3.0,1.0,2.0,2.0,10.0,1,2,1994,yes,4948
391,40,No,travel_rarely,593.0,32,4,unknown,,2.0,M,88.0,3.0,3.0, research director ,3.0,unknown,13782,9,no,17.0,3.0,3.0,0.0,3.0,2.0,18.0,2,13,1983,no,18684
392,26,No,travel_rarely,1384.0,3,4,unknown,1177.0,1.0,H,82.0,4.0,1.0, laboratory technician ,4.0,unknown,13421,1,no,22.0,4.0,2.0,1.0,2.0,3.0,8.0,0,7,1997,yes,1177
393,35,No,travel_rarely,819.0,2,3,unknown,1182.0,3.0,H,44.0,2.0,3.0, manufacturing director ,2.0,divorced,19588,2,no,18.0,3.0,2.0,1.0,2.0,4.0,7.0,6,4,1988,yes,1182
394,53,No,travel_rarely,1223.0,7,2,medical,1201.0,4.0,M,50.0,3.0,5.0, manager ,3.0,divorced,18640,3,no,18.0,3.0,2.0,1.0,6.0,3.0,7.0,4,7,1970,no,1201
395,35,No,travel_rarely,1361.0,17,4,life sciences,1218.0,3.0,H,94.0,3.0,2.0, sales executive ,1.0,unknown,21026,3,no,15.0,3.0,4.0,3.0,2.0,3.0,7.0,1,7,1988,yes,1218
396,33,No,travel_rarely,1146.0,25,3,medical,1220.0,2.0,M,0.0,3.0,2.0, sales executive ,3.0,unknown,4905,1,no,12.0,3.0,1.0,1.0,3.0,2.0,10.0,0,1,1990,yes,1220
397,36,No,travel_rarely,804.0,6,4,life sciences,,3.0,H,60.0,1.0,1.0, laboratory technician ,3.0,divorced,6865,1,no,14.0,3.0,3.0,1.0,4.0,3.0,7.0,1,7,1987,yes,6588
398,30,No,travel_rarely,853.0,7,4,life sciences,1224.0,3.0,H,49.0,3.0,2.0, laboratory technician ,3.0,divorced,11309,1,no,13.0,3.0,1.0,3.0,4.0,2.0,10.0,8,9,1993,yes,1224
399,60,No,travel_rarely,804.0,29,4,unknown,,2.0,H,52.0,4.0,2.0, sales executive ,4.0,divorced,10893,0,no,18.0,3.0,2.0,1.0,3.0,3.0,11.0,1,9,1963,yes,10314
400,32,No,travel_rarely,1316.0,2,2,life sciences,1235.0,4.0,M,38.0,3.0,2.0, research scientist ,3.0,single,2338,4,yes,14.0,3.0,4.0,0.0,2.0,3.0,8.0,0,7,1991,no,1235
401,36,No,travel_rarely,363.0,1,3,technical degree,1237.0,3.0,M,0.0,1.0,3.0, manufacturing director ,1.0,divorced,4235,2,yes,21.0,4.0,3.0,1.0,2.0,3.0,7.0,7,7,1987,yes,1237
402,27,No,travel_rarely,1103.0,14,3,unknown,,1.0,H,42.0,3.0,1.0, research scientist ,1.0,unknown,14377,1,no,14.0,3.0,4.0,2.0,3.0,2.0,9.0,6,8,1996,yes,19280
403,43,No,travel_rarely,920.0,3,3,life sciences,1255.0,3.0,H,96.0,1.0,5.0, research director ,4.0,unknown,18625,3,no,14.0,3.0,2.0,1.0,2.0,3.0,8.0,0,7,1980,yes,1255
404,29,No,travel_rarely,694.0,1,3,unknown,1264.0,4.0,M,0.0,2.0,4.0, research director ,4.0,divorced,3423,3,no,14.0,3.0,2.0,2.0,2.0,2.0,7.0,1,7,1994,yes,1264
405,59,No,travel_rarely,1429.0,24,4,unknown,1283.0,2.0,H,67.0,3.0,3.0, manufacturing director ,4.0,single,20002,6,no,12.0,3.0,4.0,0.0,6.0,2.0,9.0,5,4,1964,no,1283
406,43,No,travel_rarely,531.0,4,4,marketing,1293.0,4.0,M,56.0,2.0,3.0, sales executive ,4.0,single,20364,3,no,14.0,3.0,4.0,0.0,3.0,4.0,21.0,15,17,1980,yes,1293
407,44,Yes,travel_rarely,621.0,15,3,medical,1295.0,1.0,M,73.0,3.0,3.0, healthcare representative ,4.0,married,14075,1,no,11.0,3.0,4.0,1.0,2.0,3.0,10.0,0,5,1979,yes,1295
408,29,Yes,travel_rarely,806.0,7,3,technical degree,,2.0,M,39.0,3.0,1.0, laboratory technician ,3.0,divorced,17285,3,yes,13.0,3.0,1.0,2.0,2.0,3.0,7.0,7,7,1994,yes,20640
409,32,No,travel_rarely,604.0,8,3,unknown,,3.0,H,56.0,4.0,2.0, sales executive ,4.0,married,11693,1,no,15.0,3.0,3.0,2.0,4.0,4.0,10.0,0,8,1991,no,2609
410,36,No,travel_rarely,325.0,10,4,technical degree,,4.0,M,63.0,3.0,3.0, healthcare representative ,3.0,married,5747,3,no,12.0,3.0,1.0,0.0,0.0,3.0,7.0,1,7,1987,yes,12017
411,52,Yes,travel_rarely,1030.0,5,3,unknown,,2.0,H,64.0,3.0,3.0, sales executive ,2.0,single,21534,9,yes,19.0,3.0,3.0,0.0,2.0,2.0,8.0,7,7,1971,yes,8752
412,39,No,travel_rarely,524.0,33,2,unknown,1322.0,1.0,H,32.0,3.0,2.0, manufacturing director ,3.0,single,13352,0,no,11.0,3.0,1.0,0.0,6.0,3.0,8.0,1,7,1984,yes,1322
