,YearsSinceLastPromotion,YEARSWITHCURRMANAGER,DateBirth,RemoteWork
1181,1,2,2001,no
1182,0,5,1990,no
1183,1,2,1992,no
1184,0,0,1978,yes
1185,1,3,1970,yes
1186,4,3,1989,yes
1187,1,0,1980,no
1188,0,4,1995,yes
1189,2,2,1981,yes
1190,0,0,1996,yes
1191,0,0,1983,yes
1192,11,7,1986,yes
1193,0,2,1994,no
1194,0,2,1985,no
1195,0,9,1989,yes
1196,0,0,1989,no
1197,7,7,1973,no
1198,0,0,1997,no
1199,0,2,1995,no
1200,0,0,1995,yes
1201,0,0,1983,yes
1202,0,0,2004,no
1203,2,2,2003,yes
1204,1,3,1983,no
1205,0,0,2004,yes
1206,0,5,1964,no
1207,0,8,1993,no
1208,1,2,1978,yes
1209,1,2,1983,no
1210,2,2,1993,no
1211,0,0,1999,no
1212,2,5,1991,yes
1213,0,0,1995,no
1214,0,4,1974,yes
1215,0,5,1985,no
1216,2,2,1977,yes
1217,0,7,1989,no
1218,2,2,1984,no
1219,1,4,1997,yes
1220,1,7,1969,no
1221,0,8,1987,yes
1222,0,3,1991,no
1223,1,2,1991,yes
1224,0,3,1995,yes
1225,0,0,1990,no
1226,0,0,1986,yes
1227,0,0,1964,yes
1228,0,0,1993,yes
1229,0,0,2001,no
1230,0,0,2002,yes
1231,1,8,1993,no
1232,0,0,1984,yes
1233,2,0,1999,no
1234,0,0,1988,yes
1235,0,0,1996,no
1236,0,1,1997,no
1237,0,0,1986,no
1238,0,1,1988,yes
1239,0,0,1975,no
1240,2,3,1988,yes
1241,0,2,1968,yes
1242,0,0,1978,yes
1243,0,0,1987,yes
1244,0,0,1987,yes
1245,0,0,1978,no
1246,1,0,1968,yes
1247,0,0,2000,no
1248,0,0,1991,yes
1249,1,0,2003,no
1250,0,0,1986,no
1251,0,0,2001,no
1252,0,0,1989,yes
1253,0,0,1987,no
1254,0,0,2004,yes
1255,1,4,1982,yes
1256,0,0,2004,no
1257,0,0,1972,yes
1258,0,0,1965,no
1259,0,0,2004,yes
1260,1,0,2004,yes
1261,0,1,1988,yes
1262,0,0,1985,no
1263,0,0,1985,no
1264,0,0,1982,no
1265,0,0,1964,yes
1266,0,6,1973,no
1267,0,0,1982,yes
1268,1,7,1978,no
1269,0,0,1986,yes
1270,0,0,1972,yes
1271,0,0,1995,no
1272,0,0,1994,yes
1273,7,8,1992,yes
1274,7,7,1985,no
1275,0,0,1979,yes
1276,7,7,1987,yes
1277,0,0,2005,yes
1278,0,0,1987,yes
1279,0,0,2005,no
1280,0,0,1984,yes
1281,0,0,1980,yes
1282,0,0,1976,no
1283,0,0,1981,no
1284,0,7,1991,yes
1285,0,0,1975,yes
1286,0,0,1981,no
1287,0,0,1987,yes
1288,0,0,1990,no
1289,0,0,1977,yes
1290,0,0,2002,no
1291,0,0,1993,yes
1292,0,0,1993,no
1293,0,1,1986,yes
1294,0,0,1983,yes
1295,1,8,1995,no
1296,0,0,1985,no
1297,0,0,2004,yes
1298,0,0,1966,yes
1299,0,4,1976,yes
1300,0,0,1969,no
1301,0,0,1992,yes
1302,0,0,2005,no
1303,0,1,1983,yes
1304,0,0,1997,yes
1305,0,0,1997,yes
1306,0,0,1985,yes
1307,0,0,1999,yes
1308,0,0,1993,yes
1309,1,0,1986,no
1310,0,0,2003,yes
1311,0,0,1980,no
1312,0,0,1985,yes
1313,1,2,1990,no
1314,0,0,1993,no
1315,1,2,1994,no
1316,1,1,2003,yes
1317,0,0,1988,no
1318,0,0,1986,yes
1319,0,0,1985,yes
1320,0,0,1994,no
1321,0,0,1988,yes
1322,0,1,1985,yes
1323,0,0,1989,yes
1324,0,0,2000,no
1325,0,0,1999,no
1326,0,0,1994,yes
1327,0,0,1983,yes
1328,0,0,1993,yes
1329,0,0,1978,yes
1330,0,0,1996,yes
1331,0,0,1986,yes
1332,0,2,1991,yes
1333,2,2,1970,yes
1334,0,9,1986,no
1335,0,1,1991,yes
1336,0,0,1965,yes
1337,0,0,1980,no
1338,0,0,2002,no
1339,1,0,1989,yes
1340,0,4,1965,no
1341,0,0,1975,no
1342,0,2,1991,yes
1343,0,0,1998,no
1344,0,0,1983,yes
1345,0,0,2004,no
1346,0,0,2003,no
1347,1,4,1990,yes
1348,0,0,1965,no
1349,0,0,1983,yes
1350,0,0,1994,yes
1351,0,7,1976,no
1352,0,0,2005,yes
1353,0,0,2003,no
1354,0,0,1981,yes
1355,0,0,1973,yes
1356,0,0,1986,yes
1357,0,0,1985,no
1358,0,0,1987,yes
1359,0,0,1995,yes
1360,0,0,1980,yes
1361,1,0,2002,yes
1362,2,7,1972,no
1363,0,0,1986,no
1364,0,0,1995,no
1365,0,0,1973,yes
1366,0,0,1989,yes
1367,0,0,1985,yes
1368,0,0,1981,no
1369,0,0,2005,yes
1370,0,0,1982,no
1371,1,7,1988,yes
1372,0,0,1991,yes
1373,0,0,2001,yes
1374,0,0,1979,yes
1375,0,0,1982,yes
1376,0,0,1983,no
1377,0,0,1999,yes
1378,0,0,1981,no
1379,0,0,1974,yes
1380,0,0,1975,yes
1381,1,0,1994,yes
1382,0,0,1975,yes
1383,0,0,1989,yes
1384,0,1,2004,yes
1385,0,1,2000,no
1386,1,0,1998,yes
1387,0,0,1981,no
1388,7,7,1972,no
1389,0,0,1978,no
1390,0,0,1996,yes
1391,0,0,2005,no
1392,0,0,1992,yes
1393,0,0,1992,no
1394,0,0,1992,no
1395,1,4,1996,no
1396,0,0,1984,yes
1397,0,0,1979,no
1398,0,0,1993,no
1399,0,0,1988,yes
1400,0,0,1999,no
1401,0,0,1999,yes
1402,0,0,1995,yes
1403,0,0,1995,no
1404,0,0,1990,yes
1405,2,2,1984,no
1406,0,0,1981,yes
1407,0,0,1994,no
1408,1,2,1988,no
1409,0,0,1988,yes
1410,0,0,1989,no
1411,0,0,1997,yes
1412,0,0,1987,yes
1413,0,0,1973,no
1414,0,1,1981,no
1415,0,1,1988,no
1416,0,12,1977,no
1417,0,0,2005,yes
1418,0,9,1994,yes
1419,0,2,1992,yes
1420,0,2,1982,yes
1421,0,0,1985,yes
1422,0,0,1991,yes
1423,0,0,1963,no
1424,0,0,1999,yes
1425,0,0,1983,yes
1426,0,8,1993,yes
1427,0,0,1976,yes
1428,0,0,1991,no
1429,0,3,1978,yes
1430,1,2,1989,no
1431,0,0,1990,yes
1432,0,0,1992,yes
1433,0,0,1994,yes
1434,1,7,1993,no
1435,1,0,1985,yes
1436,0,0,1980,no
1437,0,0,1968,no
1438,1,0,2002,yes
1439,0,0,2001,yes
1440,4,7,1986,yes
1441,0,0,1981,no
1442,0,0,2005,yes
1443,0,0,1992,yes
1444,0,0,1987,yes
1445,0,0,1991,yes
1446,1,6,1994,no
1447,0,0,1981,yes
1448,0,0,1994,yes
1449,1,0,1994,no
1450,0,0,1995,yes
1451,0,0,1993,no
1452,0,0,2001,yes
1453,1,0,1997,no
1454,2,2,1979,yes
1455,0,0,1994,yes
1456,2,2,1995,yes
1457,0,0,1967,yes
1458,7,9,1984,yes
1459,0,0,1965,yes
1460,0,0,1981,no
1461,0,0,1996,no
1462,0,0,1985,yes
1463,0,0,1991,yes
1464,0,0,1992,yes
1465,1,2,1998,no
1466,0,0,1983,yes
1467,1,3,1984,no
1468,1,0,2000,no
1469,1,7,1988,no
1470,5,7,1989,yes
1471,1,4,1995,no
1472,0,2,1994,no
1473,15,6,1965,yes
1474,5,13,1985,yes
1475,4,1,1994,yes
1476,4,13,1968,yes
1477,0,4,1982,yes
1478,3,7,1984,yes
1479,2,9,1985,yes
1480,3,9,1980,yes
1481,3,12,1992,yes
1482,15,7,1973,yes
1483,2,2,1990,no
1484,1,2,1997,yes
1485,2,2,1985,no
1486,2,2,1977,yes
1487,2,2,2002,yes
1488,2,2,1992,no
1489,0,2,1988,yes
1490,0,2,1989,yes
1491,0,3,1990,yes
1492,2,2,1992,no
1493,1,3,1986,no
1494,2,2,1996,no
1495,2,2,1988,yes
1496,4,2,1967,no
1497,0,2,1978,yes
1498,1,8,1980,yes
1499,5,7,1992,yes
1500,7,7,1988,yes
1501,1,7,1988,no
1502,0,2,1993,no
1503,3,7,1977,no
1504,5,7,1978,yes
1505,7,7,1980,no
1506,0,7,1977,no
1507,11,16,1983,yes
1508,0,7,1996,yes
1509,5,7,1981,no
1510,7,7,1997,yes
1511,0,7,1995,yes
1512,0,3,1992,yes
1513,1,0,1992,yes
1514,2,2,1992,yes
1515,7,7,1971,no
1516,2,2,1995,yes
1517,1,1,1976,yes
1518,2,2,1994,no
1519,0,4,1986,no
1520,0,2,2000,no
1521,1,0,1981,yes
1522,2,2,1993,yes
1523,1,2,2002,no
1524,1,2,1966,no
1525,2,2,2002,yes
1526,2,2,1992,no
1527,1,2,1994,yes
1528,0,4,1996,yes
1529,0,0,1974,no
1530,2,2,1987,yes
1531,0,4,1989,yes
1532,0,3,1999,yes
1533,1,2,1981,yes
1534,1,2,1969,yes
1535,1,2,1989,yes
1536,1,2,1980,yes
1537,0,2,1980,yes
1538,3,2,1992,yes
1539,0,2,1998,yes
1540,0,2,1978,yes
1541,4,10,1978,yes
1542,9,9,1976,no
1543,6,2,1988,yes
1544,0,9,1994,yes
1545,0,8,1968,yes
1546,7,4,1997,yes
1547,7,7,1992,no
1548,1,7,1980,no
1549,1,7,1992,yes
1550,0,7,1991,no
1551,0,1,1990,yes
1552,0,0,1980,no
1553,0,7,1994,yes
1554,0,7,1996,yes
1555,1,7,1994,yes
1556,6,7,1986,yes
1557,7,7,1997,no
1558,1,7,1983,yes
1559,7,7,1982,yes
1560,0,7,1972,no
1561,12,17,1986,no
1562,7,7,1967,yes
1563,0,7,1982,yes
1564,0,8,1977,no
1565,6,7,1993,yes
1566,0,0,1988,yes
1567,6,7,1975,yes
1568,3,7,1978,no
1569,1,0,1997,yes
1570,0,7,1982,yes
1571,5,7,1989,no
1572,5,7,1992,yes
1573,4,7,1980,yes
1574,8,10,1970,no
1575,7,8,1986,yes
1576,7,1,1969,no
1577,0,5,1985,yes
1578,2,8,1994,yes
1579,7,7,1989,yes
1580,11,10,1984,no
1581,0,8,1991,yes
1582,1,8,1985,no
1583,0,7,1996,no
1584,7,7,1991,no
1585,1,7,1976,no
1586,1,7,1996,yes
1587,2,10,1982,no
1588,3,7,1995,yes
1589,0,5,1987,no
1590,7,7,1993,no
1591,1,1,1967,yes
1592,3,1,1978,yes
1593,0,9,1987,yes
1594,1,1,1994,yes
1595,4,12,1985,no
1596,3,7,1983,yes
1597,14,9,1981,yes
1598,0,5,1987,yes
1599,0,7,1994,no
1600,7,3,1968,yes
1601,7,5,1995,no
1602,1,7,1997,yes
1603,7,1,1979,no
1604,1,0,1982,yes
1605,5,2,1992,yes
1606,0,7,1997,yes
1607,8,5,1992,yes
1608,6,3,1991,yes
1609,3,7,1987,no
1610,0,8,1978,yes
1611,0,7,1984,yes
1612,0,7,1987,yes
1613,0,7,1977,no
